"","Cornus canadensis","Maianthemum canadense","Oxalis montana","Chimaphila umbellata","Aralia nudicaulis","Linnaea borealis","Clintonia borealis","Cypripedium acaule","Pyrola secunda","Trillium undulatum","Trientalis borealis","Medeola virginiana"
"Eusphalerum sp1 M_PL_004",0,1,64,0,31,2,0,6,0,0,0,0
"Paramyia nitens",1,0,0,61,0,0,0,0,0,0,0,0
"Parasyrphus relictus",7,41,0,0,0,0,2,0,0,0,0,0
"Dialictus sp1 M_PL_004",17,14,1,0,1,6,1,0,1,1,0,0
"Bombus vagans",17,1,0,5,8,1,6,2,1,0,0,0
"Eusphalerum phothos",1,0,11,0,2,0,0,0,0,0,0,0
"Bombus terricola",4,0,0,4,2,0,3,0,0,0,0,0
"Evylaeus quebecensis",7,1,0,0,1,3,0,0,0,0,0,0
"Blera confusa",10,0,0,0,0,0,0,0,0,0,0,0
"Xylota bigelowi",10,0,0,0,0,0,0,0,0,0,0,0
"Pidonia ruficolis",8,0,0,0,0,0,1,0,0,0,0,0
"Andrena w-scripta",7,0,0,0,1,0,0,0,0,0,0,0
"Dialictus cressoni",0,3,0,0,3,1,1,0,0,0,0,0
"Eusphalerum convexum",0,0,1,0,7,0,0,0,0,0,0,0
"Bombylius major",4,3,0,0,0,0,0,0,0,0,0,0
"Bombus perplexus",2,0,0,0,3,0,0,0,0,0,0,0
"Carposcalis confusus",0,1,0,0,0,1,1,0,0,1,1,0
"Hylaeus ellipticus",0,0,0,0,0,5,0,0,0,0,0,0
"Sphaerophoria bifurcata",1,1,0,0,0,1,0,0,0,1,1,0
"Anthaxia expansa",3,0,0,0,0,0,0,0,0,1,0,0
"Eclimus harrisi",1,0,0,0,0,3,0,0,0,0,0,0
"Tropidia quadrata",2,2,0,0,0,0,0,0,0,0,0,0
"Andrena melanochroa",3,0,0,0,0,0,0,0,0,0,0,0
"Andrena miranda",2,1,0,0,0,0,0,0,0,0,0,0
"Bombus ternarius",1,0,0,0,0,0,2,0,0,0,0,0
"Orthoneura pulchella",2,1,0,0,0,0,0,0,0,0,0,0
"Osmia proxima",2,0,0,0,0,1,0,0,0,0,0,0
"Phaonia serva",1,0,0,0,0,2,0,0,0,0,0,0
"Sphaerophoria sp1 M_PL_004",0,1,0,0,0,1,1,0,0,0,0,0
"Temnostoma balyras",3,0,0,0,0,0,0,0,0,0,0,0
"Tychius stephensi",3,0,0,0,0,0,0,0,0,0,0,0
"Xylota hinei",2,1,0,0,0,0,0,0,0,0,0,0
"Agiotes stabilis",0,2,0,0,0,0,0,0,0,0,0,0
"Ancistrocerus sp1 M_PL_004",2,0,0,0,0,0,0,0,0,0,0,0
"Andrena nivalis",1,1,0,0,0,0,0,0,0,0,0,0
"Andrena rufosignata",2,0,0,0,0,0,0,0,0,0,0,0
"Celastrina argiolus",2,0,0,0,0,0,0,0,0,0,0,0
"Chalcosyrphus nigra",2,0,0,0,0,0,0,0,0,0,0,0
"Cheilosia pallipes",0,0,2,0,0,0,0,0,0,0,0,0
"Cheilosia sialia",2,0,0,0,0,0,0,0,0,0,0,0
"Crabro sp1 M_PL_004",1,0,0,0,0,1,0,0,0,0,0,0
"Dialictus imitatus",0,0,0,0,1,0,1,0,0,0,0,0
"Evylaeus divergens",1,1,0,0,0,0,0,0,0,0,0,0
"Fannia ungulata",0,0,0,0,0,2,0,0,0,0,0,0
"Halictus rubicundus",0,1,0,0,1,0,0,0,0,0,0,0
"Mallota posticata",1,0,0,0,1,0,0,0,0,0,0,0
"Melagyna lasiophthalma",0,1,0,0,0,1,0,0,0,0,0,0
"Melanostoma sp1 M_PL_004",0,0,2,0,0,0,0,0,0,0,0,0
"Sarcophaga nearctica",1,0,0,0,0,0,1,0,0,0,0,0
"Sphecodes sp1 M_PL_004",2,0,0,0,0,0,0,0,0,0,0,0
"Temnostoma barberi",2,0,0,0,0,0,0,0,0,0,0,0
"Zeraea americana",1,0,0,0,0,1,0,0,0,0,0,0
"Acmaeopsoides rufula",1,0,0,0,0,0,0,0,0,0,0,0
"Andrena sigmundi",1,0,0,0,0,0,0,0,0,0,0,0
"Andrena thaspii",1,0,0,0,0,0,0,0,0,0,0,0
"Andrena wheeleri",0,0,0,0,1,0,0,0,0,0,0,0
"Andrena wilkella",0,0,0,0,0,0,1,0,0,0,0,0
"Anthonomus sp1 M_PL_004",1,0,0,0,0,0,0,0,0,0,0,0
"Blera badia",1,0,0,0,0,0,0,0,0,0,0,0
