"","Leucanthemum vulgare","Lotus corniculatus","Lathyrus pratensis","Vicia cracca","Hypochoeris radicata","Ranunculus acris","Trifolium dubium","Prunella vulgaris","Achillea millefolium","Centaurea nigra","Trifolium repens","Vicia sativa","Lychnis flos-cuculi","Plantago lanceolata","Trifolium pratense","Cirsium arvense","Taraxacum officinale"
"Bombus terrestris/lucorum",33,965,175,69,15,1,7,1,0,0,7,3,0,0,0,0,0
"Phaonia incarna",426,3,1,1,12,3,0,0,1,1,0,0,0,0,0,0,0
"Tropidia scitta",252,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
"Helophilus sp1 M_PL_006",225,8,0,1,4,1,1,0,1,0,0,0,0,0,0,0,1
"Eristalinus sepulcharius",192,0,0,0,6,2,0,0,2,0,0,0,0,0,0,0,0
"Bombus pascuorum",3,47,18,4,2,0,1,2,0,0,0,2,3,0,2,0,0
"Lucillia sp1 M_PL_006",68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maniola jurtina",19,19,0,7,0,0,0,9,3,5,0,0,0,0,0,1,0
"Pollenia sp1 M_PL_006",55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Anthomyidae sp1 M_PL_006",17,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0
"Eristalis nemorum",35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Chrysogaster sp1 M_PL_006",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Syritta pipiens",29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Eristalis intricarius",26,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"Lejogaster splendida",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena wilkella",5,7,1,4,0,0,8,0,0,0,0,0,0,0,0,0,0
"Bombus hortorum",2,13,5,4,0,0,0,0,0,0,0,1,0,0,0,0,0
"Eristalis tenax",19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cheilosia albitarsis",5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
"Empis livida",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scathophaga stercoraria",14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psithyrus vest",10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasiommata megera ",5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Megachile willughbiella",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Syrphus sp1 M_PL_006",6,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
"Thymelicus sp1 M_PL_006",1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Lycaena phlaeas ",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Odontomyia tigrina",7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Micromoth sp1 M_PL_006",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Platycheirus sp1 M_PL_006",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sphaerophoria sp1 M_PL_006",4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Helophilus trivittatus",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neoascia tenur",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Odontomyia viridula",4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Polyommatus icarus ",2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhagio tringarius",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zygaena filipendulae ",0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
"Andrena haemorrhoa",2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Bombus pratorum",2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Melanostoma sp1 M_PL_006",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ochlodes venata ",0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena pubescens",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Autographa sp1 M_PL_006",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eriothrix rufomaculatus",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eristalis pertinax",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sarcophagus sp1 M_PL_006",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adela rufimatrella",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anosymia sp1 M_PL_006",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus lapidarius",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chloromyia formosa ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Lasioglossum calceatum",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum leucozonium",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum villosulum",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Malachius viridus ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meliscaeva sp1 M_PL_006",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Nemotelus pantherinus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oligia sp1 M_PL_006",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parhelophilus sp1 M_PL_006",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyronia tithonus ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhagonycha fulva",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tetanocera ferruginea ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
