"","Dryas sp1 M_PL_014","Salix sp1 M_PL_014","Saxifraga oppositifolia","Potentilla sp1 M_PL_014","Lychnis triflora","Papaver sp1 M_PL_014","Stellaria sp1 M_PL_014","Epilobium sp1 M_PL_014","Lesquerella arctica","Cassiope tetragona","Cerastium alpinum","Erysimum sp1 M_PL_014","Saxifraga tricuspidata","Taraxacum sp1 M_PL_014","Arnica sp1 M_PL_014","Draba bellii","Saxifraga hirculus","Braya sp1 M_PL_014","Cerastium arcticum","Draba cinerea","Draba oblongata","Erigeron sp1 M_PL_014","Pedicularis capitata","Pedicularis sp1 M_PL_014","Polygonum viviparum","Saxifraga cernua","Saxifraga flagellaris","Saxifraga sp1 M_PL_014","Silene sp1 M_PL_014"
"Bombus polaris",1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
"Smittia extrema",0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
"Carposcalis carinata",1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aedes nigripes",1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Smittia sp1 M_PL_014",1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aedes impiger",1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aedes sp1 M_PL_014",1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boloria sp1 M_PL_014",1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corynoneura scutellata",1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cryptus arcticus",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Limnophyes sp1 M_PL_014",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Orthocladiinae sp1 M_PL_014",0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp1 M_PL_014",0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
