"","Tripleurospermum inodorum","Silene dioica","Cirsium arvense","Chaerophyllum temulentum","Angelica sylvestris","Tanacetum vulgare","Melilotus albus","Trifolium repens","Achillea millefolium","Cirsium vulgare","Lapsana communis","Senecio jacobea","Verbascum thapsus","Stachys sylvatica","Vicia hirsuta","Eupatorium cannabinum","Myosotis palustris","Stachys palustris","Sonchus palustris","Echium vulgare","Epilobium montanum","Geranium robertianum","Ranunculus repens","Aegopodium podagraria","Daucus carota","Juncus effusus","Lychnis flos-cuculi","Sonchus arvensis","Trifolium dubium","Vicia sepium","Allium scorodoprasum","Calystegia sepium","Chamomilla recutita","Malva sylvestris","Prunella vulgaris","Chrysanthemum maximum","Veronica agrestis","Cerastium glomeratum","Hypericum perforatum"
"Meligethes sp1 M_PL_018",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1
"Undefined sp17 M_PL_018",1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Bombus pascuorum",0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
"Undefined sp21 M_PL_018",1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"Episyrphus balteatus",1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Olibrus aeneus ",1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"Undefined sp14 M_PL_018",1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"Undefined sp18 M_PL_018",1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Undefined sp20 M_PL_018",0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Crambus pratella",1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Undefined sp22 M_PL_018",0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Undefined sp25 M_PL_018",1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Undefined sp26 M_PL_018",0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"Adscita statices",0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Bombus hortorum",1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Bombus lapidarius",0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Leptura rubra",1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
