"","Dryas integrifolia","Salix arctica","Saxifraga oppositifolia","Potentilla nivea","Papaver radicatum","Pedicularis arctica","Lesquerella arctica","Polygonum viviparum","Arnica alpina","Taraxacum arctogenum","Stellaria longipes","Erysimum pallasii","Saxifraga hirculus","Cassiope tetragona","Cerastium alpinum","Draba sp1 M_PL_020","Erigeron compositus","Erigeron eriocephalus","Pedicularis capitata","Ranumculus sulphureus"
"Bombus sp1 M_PL_020",1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"Carposcalis carinata",1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Limnophyes sp1 M_PL_020",1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Rhamphomyia filicauda",1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Sciari sp1 M_PL_020",1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"Smittia sp1 M_PL_020",1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boreellus atriceps",1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Peleteria aenea",1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
"Smittia velutina",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dictyna borealis",0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Eupogonomyia groenlandica",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Xysticus deichmanni",1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Anarta richardsoni",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Boloria chariclea",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Boloria polaris",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bryobia praetiosa",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colias hecla",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Crymodes exulis",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Lasiestra leucocycla",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Metasyrphus chillcotti",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraphaenocladius despectus",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Periscepsia sp1 M_PL_020",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhamphomyia sp1 M_PL_020",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Scatophaga apicaulis",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stenomacrus sp1 M_PL_020",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Tachinidae sp1 M_PL_020",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Aedes sp1 M_PL_020",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calliphoridae sp1 M_PL_020",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ceratopogon sp1 M_PL_020",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
