"","Discaria nana","Azorella monanthos","Phacelia secunda","Senecio looseri ","Sisyrinchium junceum","Adesmia haemisphaerica","Jaborosa laciniata ","Astragalus nivicola","Cerastium arvense","Montiopsis gilliesii ","Oxalis erythrorhiza","Perezia pilifera","Senecio tricephalus ","Tarasa humilis ","Astragalus cruckshanksii","Calandrinia caespitosa","Epilobium nivale ","Hypochoeris montana ","Leuceria candidissima ","Loasa incurva ","Menonvillea hookeri "
"Megachile sp1 M_PL_022",0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
"Chilimelissa sp1 M_PL_022",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
"Geron sp1 M_PL_022",1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"Megachile sp2 M_PL_022",0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp2 M_PL_022",1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp5 M_PL_022",0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthidium chubuti",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Thysanoptera sp1 M_PL_022",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Astylus sp1 M_PL_022",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Chironomidae sp1 M_PL_022",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chlorobrachycoma versicolor ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hypodinerus sp1 M_PL_022",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Ichneumonidae sp1 M_PL_022",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Liphantus sp1 M_PL_022",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Liphantus sp2 M_PL_022",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microcerella rusca ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mosillus sp1 M_PL_022",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spinoliella sp1 M_PL_022",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Thyridanthrax sp2 M_PL_022",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tropidia notata",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp1 M_PL_022",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agrotis ipsilon ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alloscirtetica antarctica ",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alloscirtetica sp1 M_PL_022",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calliphoridae sp1 M_PL_022",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Chilimelissa farellones ",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coccinela anchoralis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dasybaris chillan ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dolichogyna sp1 M_PL_022",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hypodinerus sp2 M_PL_022",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Issoria lathonioides",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peridroma saucia ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phulia sp1 M_PL_022",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phulia sp2 M_PL_022",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Podagritus sp1 M_PL_022",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudoleucania nobilis ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudoleucania sp1 M_PL_022",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyrgus fides ",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tamseuxoa ingoufii ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thyridanthrax sp1 M_PL_022",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thyridanthrax sp3 M_PL_022",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
