"","Claytonia virginica","Erythronium umbilicatum","Stellaria pubera","Thalictrum thalictroides","Cardamine angustata angustata","Hepatica americana","Sangiunaria canadensis","Tiarella cordifolia collina","Aesculus sylvatica","Viola papilionacea","Uvularia sessilifolia","Podophyllum peltatum","Trillium catesbei"
"Bombylius major",418,2,122,130,79,20,20,8,0,17,0,0,0
"Andrena erigeniae",378,0,3,1,2,0,0,0,0,0,0,0,0
"Andrena nigrihirta",13,273,6,0,16,27,0,0,0,0,15,0,0
"Andrena tridens",2,72,0,0,4,9,0,0,0,0,2,0,0
"Apis mellifera",4,52,0,0,5,4,21,1,0,0,0,0,0
"Nomada sp1 M_PL_025",32,1,44,1,2,4,0,0,0,0,0,0,0
"Bombus bimaculatus",0,0,0,0,5,2,1,18,25,0,0,3,2
"Gonia sp1 M_PL_025",37,0,4,8,2,4,0,0,0,0,0,0,0
"Halictid sp1 M_PL_025",22,0,0,9,0,1,0,0,0,0,0,0,0
"Dialictus abanci",7,3,3,6,0,5,0,0,0,0,2,0,0
"Hylema platura",16,0,0,0,0,8,0,0,0,0,0,0,0
"Osmia conjucta",7,4,7,0,1,0,0,1,0,2,0,0,0
"Nomada perplexa",6,8,4,0,2,0,0,0,0,0,0,0,0
"Andrena carlini",1,4,2,0,7,1,2,0,0,0,0,0,1
"Platycheirus obscurus",10,0,1,2,4,0,0,0,0,0,0,0,0
"Osmia sp1 M_PL_025",4,7,3,1,1,0,0,0,0,0,0,0,0
"Nomada pygmaea",8,0,5,0,1,0,0,0,0,0,0,0,0
"Andrena nasonii",3,0,8,0,2,0,0,0,0,0,0,0,0
"Evylaeus macoupinensis",4,0,0,1,0,5,0,1,0,0,1,0,0
"Osmia lignaria",3,4,0,0,2,0,0,0,0,0,0,0,0
"Augochlora pura",1,1,3,0,3,0,0,0,0,0,0,0,0
"Toxomerous geminatus",4,0,3,0,0,0,1,0,0,0,0,0,0
"Ceratina calcarata",3,0,2,2,0,0,0,0,0,0,0,0,0
"Dialictus cressonii",5,0,0,0,0,0,1,1,0,0,0,0,0
"Euchlo creusa lotta",5,0,0,0,2,0,0,0,0,0,0,0,0
"Xylocopa virginica virginica",1,2,0,0,1,0,1,0,0,0,0,1,1
"Osmia atriventris",0,0,3,0,0,0,0,0,0,3,0,0,0
"Andrena violae",0,0,0,0,0,0,0,0,0,4,0,0,0
"Bombus pennsylvanicus",0,0,0,0,1,0,0,0,2,0,0,0,0
"Ephemoropsis laboriosa",0,0,0,0,0,0,0,2,1,0,0,0,0
"Nomada luteola",0,0,3,0,0,0,0,0,0,0,0,0,0
"Andrena arabis",0,0,0,0,2,0,0,0,0,0,0,0,0
"Andrena ziziaeformis",1,0,0,0,0,0,0,0,0,0,1,0,0
"Augochorella striata",1,1,0,0,0,0,0,0,0,0,0,0,0
"Lycaenopsis argiolus",2,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp1 M_PL_025",0,0,0,0,2,0,0,0,0,0,0,0,0
"Andrena ceanothi",1,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena dunningi",0,0,0,0,1,0,0,0,0,0,0,0,0
"Andrena imatrix",1,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena personata",0,0,1,0,0,0,0,0,0,0,0,0,0
"Lassioglossum fuscipenne",0,0,0,0,1,0,0,0,0,0,0,0,0
"Nomada bishopii",0,0,1,0,0,0,0,0,0,0,0,0,0
"Nomada sayi",0,0,1,0,0,0,0,0,0,0,0,0,0
"Osmia simillima",0,0,0,0,0,0,0,0,0,1,0,0,0
