"","Salix fragilis","Vaccinium myrtilloides","Ledum groenlandicum","Nemopanthus mucronata","Gaylussacia baccata","Spiraea alba","Chamaedaphne calyculata","Aronia melanocarpa","Kalmia polifolia","Kalmia angustifolia","Calopogon pulchellus","Smilacina trifolia","Andromeda glaucophylla"
"Dilophus caurinus",0,0,0,87,0,0,0,0,0,0,0,0,0
"Andrena vicina",11,7,11,4,29,0,19,1,1,0,0,0,0
"Bombus terricola",3,14,22,0,7,36,0,0,0,0,0,0,0
"Colletes inaequalis",51,11,3,0,0,0,6,2,0,0,0,0,0
"Andrena regularis",0,10,31,1,7,0,4,7,6,0,0,0,0
"Pyrobombus ternarius",2,16,9,1,6,7,1,1,3,3,0,0,1
"Andrena bradleyi",5,12,0,0,4,0,25,0,2,0,0,0,0
"Cyphon variabilis",37,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena mandibularis",0,1,9,7,0,0,1,0,13,3,0,0,0
"Pyrobombus sandersoni",2,7,3,0,14,2,1,2,1,2,0,0,0
"Sercomyia transversa",0,1,2,0,23,0,0,0,4,2,0,0,0
"Pyrobombus impatiens",0,17,5,0,3,1,1,0,1,0,0,0,2
"Melanostoma sp1 M_PL_033",0,0,0,15,0,0,1,1,0,0,0,9,0
"Apis mellifera",1,20,0,1,1,0,0,0,1,0,0,0,0
"Pyrobombus perplexus",2,14,0,0,0,2,0,2,1,0,0,0,0
"Adela purpurea",20,0,0,0,0,0,0,0,0,0,0,0,0
"Helophilus latifrons",0,0,14,0,4,0,0,1,0,0,0,0,0
"Syritta pipiens",0,0,0,0,0,1,0,14,0,3,0,1,0
"Eristalis dimidiata",0,0,5,0,7,4,0,2,0,0,0,0,0
"Andrena carolina",1,6,4,0,5,0,0,0,0,0,0,0,0
"Macrodactlyus subspinosus",0,0,0,0,0,15,0,0,0,0,0,0,0
"Shaerophoria sp1 M_PL_033",0,0,4,0,0,0,1,8,0,0,0,2,0
"Hybomitra typhus",0,0,0,0,1,0,0,0,0,13,0,0,0
"Syrphus torvus",0,0,0,1,0,0,0,13,0,0,0,0,0
"Toxomerus marginatus",0,0,0,0,0,0,0,0,0,0,14,0,0
"Spilogona fatima",1,0,0,4,0,0,7,0,0,0,0,1,0
"Dialictus pilosus",0,0,0,1,0,0,0,7,4,0,0,0,0
"Hybomitra minuscula",0,0,0,0,0,12,0,0,0,0,0,0,0
"Andrena alleghaniensis",0,0,2,6,0,0,0,3,0,0,0,0,0
"Andrena carlini",1,1,1,2,0,0,6,0,0,0,0,0,0
"Helophilus fasciatus",0,0,4,0,3,0,1,2,0,1,0,0,0
"Pyrophaena rosarum",0,0,1,2,0,1,0,0,0,1,0,6,0
"Helophilus laetus",0,0,4,0,0,3,0,3,0,0,0,0,0
"Thymelicus lineola",0,0,0,0,0,3,0,0,0,0,7,0,0
