"","Cirsium arvense","Eupatorium cannabinum","Stachys palustris","Sonchus palustris","Juncus effusus","Lychnis flos-cuculi","Sonchus arvensis","Allium scorodoprasum","Calystegia sepium","Silene dioica"
"Meligethes sp1 M_PL_037",1,1,1,1,1,0,1,0,1,0
"Bombus lapidarius",1,1,0,1,0,0,0,0,1,0
"Bombus pascuorum",1,1,1,0,0,0,0,0,1,0
"Unidentified sp1 M_PL_037",1,0,1,0,1,1,0,0,0,0
"Unidentified sp2 M_PL_037",1,0,0,0,1,0,1,1,0,0
"Apocrita sp1 M_PL_037",1,1,0,0,0,0,0,1,0,0
"Episyrphus balteatus",0,0,1,1,0,0,1,0,0,0
"Unidentified sp3 M_PL_037",1,0,0,1,0,0,1,0,0,0
"Unidentified sp4 M_PL_037",0,0,0,0,1,0,1,1,0,0
"Bombus terrestris",1,1,0,0,0,0,0,0,0,0
"Eumerus tuberculatus ",0,0,1,0,0,1,0,0,0,0
"Olibrus aeneus ",1,0,0,0,1,0,0,0,0,0
"Thymelicus sylvestris",1,0,0,0,0,0,0,1,0,0
"Unidentified sp5 M_PL_037",1,0,0,0,0,0,0,0,0,1
"Unidentified sp6 M_PL_037",1,0,0,0,0,0,1,0,0,0
"Bombus lucorum",0,1,0,0,0,0,0,0,0,0
"Ceuthorrhynchus assimilis ",0,1,0,0,0,0,0,0,0,0
"Chrysomela fastuosa",0,0,1,0,0,0,0,0,0,0
"Eoseristalis horticola",0,1,0,0,0,0,0,0,0,0
"Epuraea depressa Illiger",1,0,0,0,0,0,0,0,0,0
"Leptura rubra",0,0,0,0,0,0,0,0,1,0
"Melanostoma scalare",0,0,0,0,0,0,0,0,1,0
"Mesapamea secalis",0,0,1,0,0,0,0,0,0,0
"Nemophora degeerella",0,0,0,0,0,1,0,0,0,0
"Pieris napi",1,0,0,0,0,0,0,0,0,0
"Psithyrus bohemicus",0,1,0,0,0,0,0,0,0,0
"Scaeva pyrastri",0,0,0,1,0,0,0,0,0,0
"Strangalia maculata",1,0,0,0,0,0,0,0,0,0
"Syrphus ribesii",0,0,0,1,0,0,0,0,0,0
"Syrphus vitripennis ",0,0,0,1,0,0,0,0,0,0
"Unidentified sp10 M_PL_037",0,0,0,0,0,1,0,0,0,0
"Unidentified sp11 M_PL_037",0,0,1,0,0,0,0,0,0,0
"Unidentified sp12 M_PL_037",1,0,0,0,0,0,0,0,0,0
"Unidentified sp13 M_PL_037",1,0,0,0,0,0,0,0,0,0
"Unidentified sp14 M_PL_037",0,0,0,0,0,1,0,0,0,0
"Unidentified sp15 M_PL_037",0,0,1,0,0,0,0,0,0,0
"Unidentified sp7 M_PL_037",0,0,0,0,0,0,0,1,0,0
"Unidentified sp8 M_PL_037",0,0,0,0,1,0,0,0,0,0
"Unidentified sp9 M_PL_037",0,0,0,1,0,0,0,0,0,0
"Zygaena filipendulae ",0,0,0,0,0,1,0,0,0,0
