"","Angelica sylvestris","Chaerophyllum temulentum","Silene dioica","Stachys sylvatica","Lapsana communis","Geranium robertianum","Vicia sepium","Veronica agrestis"
"Unidentified sp1 M_PL_038",1,1,0,1,1,0,1,0
"Anaspis flava",0,1,1,0,1,0,1,0
"Meligethes sp1 M_PL_038",1,1,0,1,1,0,0,0
"Unidentified sp2 M_PL_038",1,1,0,1,0,1,0,0
"Adscita statices",0,0,1,0,0,1,1,0
"Apocrita sp1 M_PL_038",0,1,1,1,0,0,0,0
"Byturus aestivus",1,0,1,0,0,1,0,0
"Crambus pratella",1,1,0,1,0,0,0,0
"Dasytes plumbeus ",1,1,1,0,0,0,0,0
"Unidentified sp3 M_PL_038",1,1,0,0,1,0,0,0
"Unidentified sp4 M_PL_038",0,0,0,1,1,0,0,1
"Anaspis rufilabris ",1,1,0,0,0,0,0,0
"Bombus hortorum",0,0,0,1,0,1,0,0
"Bombus pascuorum",0,0,0,1,0,0,1,0
"Chrysogaster solstitialis",1,1,0,0,0,0,0,0
"Leptura rubra",1,1,0,0,0,0,0,0
"Nemophora degeerella",0,1,0,1,0,0,0,0
"Olibrus aeneus ",0,0,1,0,0,1,0,0
"Unidentified sp5 M_PL_038",1,1,0,0,0,0,0,0
"Unidentified sp6 M_PL_038",0,1,0,0,1,0,0,0
"Unidentified sp7 M_PL_038",0,0,0,0,0,1,0,1
"Anaspis frontalis",0,0,0,1,0,0,0,0
"Aphantopus hyperantus",1,0,0,0,0,0,0,0
"Ceuthorrhynchus pollinarius Forster",0,0,0,0,1,0,0,0
"Episyrphus balteatus",0,0,1,0,0,0,0,0
"Epuraea depressa Illiger",1,0,0,0,0,0,0,0
"Eumerus tuberculatus ",0,0,0,0,0,0,1,0
"Grammoptera ruficornis ",1,0,0,0,0,0,0,0
"Maniola jurtina",0,0,1,0,0,0,0,0
"Melanostoma scalare",0,0,0,0,1,0,0,0
"Polyommatus icarus ",0,0,1,0,0,0,0,0
"Rhingia campestris",0,0,0,1,0,0,0,0
"Rhynchites germanicus ",0,0,1,0,0,0,0,0
"Strophosomus capitatus de Geer",0,0,1,0,0,0,0,0
"Unidentified sp10 M_PL_038",1,0,0,0,0,0,0,0
"Unidentified sp11 M_PL_038",0,0,0,0,1,0,0,0
"Unidentified sp12 M_PL_038",0,0,1,0,0,0,0,0
"Unidentified sp13 M_PL_038",0,0,1,0,0,0,0,0
"Unidentified sp14 M_PL_038",0,1,0,0,0,0,0,0
"Unidentified sp8 M_PL_038",1,0,0,0,0,0,0,0
"Unidentified sp9 M_PL_038",0,0,0,0,0,0,1,0
"Volucella pellucens",1,0,0,0,0,0,0,0
