"","Dendropanax arboreus ","Dendropanax sp1 M_PL_040","Unidentified sp21 M_PL_040","Unidentified sp14 M_PL_040","Portlandia grandiflora","Unidentified sp23 M_PL_040","Miconia sp1 M_PL_040","Spermacoce assurgens","Unidentified sp13 M_PL_040","Unidentified sp15 M_PL_040","Aechmea paniculigera","Impatiens walleriana","Petiveria sp1 M_PL_040","Blakea trinervia","Unidentified sp19 M_PL_040","Byrsonima sp1 M_PL_040","Pilea sp1 M_PL_040","Unidentified sp16 M_PL_040","Unidentified sp18 M_PL_040","Unidentified sp20 M_PL_040","Wallenia laurifolia","Passiflora sp1 M_PL_040","Unidentified sp17 M_PL_040","Guarea swartzii","Psidium montanum","Unidentified sp22 M_PL_040","Nectandra coriacea","Pilea sp2 M_PL_040","Tradescantia zebrina"
"Wasmannia auropunctata",0,0,78,0,33,46,0,35,5,0,0,14,21,0,0,0,5,0,0,0,0,2,0,0,1,0,0,0,0
"Apis mellifera",44,22,0,0,0,0,3,0,6,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Crematogaster steinheili",0,0,30,26,0,0,0,3,6,0,0,4,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0
"Unidentified sp4 M_PL_040",57,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Camponotus hannani",0,0,0,49,0,0,0,0,2,2,1,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sphex jamaicensis",2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euglossa jamaicensis",0,0,0,0,0,0,8,0,1,1,26,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Dryas iulia delila",43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heliconius charitonius simulator",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Xylocopa sp1 M_PL_040",0,0,0,0,0,0,27,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0
"Centris sp2 M_PL_040",0,0,0,0,0,0,2,0,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp3 M_PL_040",10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Unidentified sp1 M_PL_040",0,0,0,1,15,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0
"Trochilus polytmus polytmus",11,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Centris sp1 M_PL_040",0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Mellisuga minima",12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aguna asander jasper",14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anolis grahami",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Camponotus subdepilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,5,0,0,0,0,0,0,0,0
"Papilio thersites",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp7 M_PL_040",10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eurytides marcellinus",2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Conotelus obscurus",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marpesia chiron",4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agapostemon sp1 M_PL_040",0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp2 M_PL_040",0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
"Coereba flaveola ",2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Adelpha abyla",3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraphrissopoda chrysostoma",0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp11 M_PL_040",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nesopsar nigerrimus",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp12 M_PL_040",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atlantea pantoni",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dione vanillae insularis",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euneornis campestris",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polistes sp1 M_PL_040",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp5 M_PL_040",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp6 M_PL_040",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anolis sagrei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Diptera sp1 M_PL_040",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paragymnetis lanius",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp8 M_PL_040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp9 M_PL_040",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
