"","Cirsium arvense","Angelica archangelica","Anthriscus sylvestris","Epilobium hirsutum","Umbellifer sp1 M_PL_046","Lathyrus pratensis","Unidentified sp27 M_PL_046","Chamaenerium angustifolium","Cirsium pratensis","Rubus fruticosus","Trfolium sp1 M_PL_046","Trifolium arvense","Torilis japonica","Stachys sylvatica","Ranunculus sp1 M_PL_046","Silene dioica"
"Meligethes sp1 M_PL_046",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Unidentified sp1 M_PL_046",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"Unidentified sp2 M_PL_046",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"Musca sp1 M_PL_046",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
"Unidentified sp3 M_PL_046",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
"Unidentified sp4 M_PL_046",1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0
"Unidentified sp5 M_PL_046",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"Lucilia sp1 M_PL_046",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"Unidentified sp6 M_PL_046",1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0
"Bombus pascuorum",1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0
"Bombus terrestris",1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0
"Pieris sp1 M_PL_046",1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1
"Unidentified sp7 M_PL_046",1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
"Unidentified sp8 M_PL_046",1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0
"Meligethes sp2 M_PL_046",1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0
"Unidentified sp10 M_PL_046",1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
"Unidentified sp11 M_PL_046",1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0
"Unidentified sp12 M_PL_046",1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0
"Unidentified sp9 M_PL_046",1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0
"Bombus lapidarius",1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
"Unidentified sp13 M_PL_046",1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
"Unidentified sp14 M_PL_046",1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"Unidentified sp15 M_PL_046",0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0
"Unidentified sp16 M_PL_046",1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0
"Unidentified sp17 M_PL_046",1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
"Apis mellifera",1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
"Asilus sp1 M_PL_046",1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
"Andreana sp1 M_PL_046",0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
"Cetonia aurata",1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
"Colias croceus",1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"Unidentified sp18 M_PL_046",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Rhynconycha sp1 M_PL_046",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp19 M_PL_046",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Unidentified sp20 M_PL_046",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Unidentified sp21 M_PL_046",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Unidentified sp22 M_PL_046",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Vespula sp1 M_PL_046",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Ichneumonidae 1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Inachis io",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Pararge aegeria",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp23 M_PL_046",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Unidentified sp24 M_PL_046",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Unidentified sp25 M_PL_046",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp26 M_PL_046",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
