"","Salix repens","Calluna vulgaris","Potentilla erecta","Solidago virgaurea","Erica tetralix","Vaccinium uliginosum","Hypochoeris radicata","Galium saxatile","Vaccinium vitis-idaea","Hieracium umbellatum","Vaccinium myrtillus","Scorzonea humilis","Genista anglica","Trientalis europaea","Salix aurita","Campanula rotundifolia","Hieracium pilosella","Empetrum nigrum","Epilobium angustifolium"
"Apis mellifera",1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0
"Episyrphus balteatus",0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1
"Eupeodes corollae ",0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0
"Melanostoma mellinum",1,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0
"Parasyrphus lineola",1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0
"Platycheirus cyaneus",1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0
"Scaeva selenitica",1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0
"Bombus lucorum",1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0
"Bombus pascuorum",1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0
"Meliscaeva cinctella",1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"Sphaerophoria sp1 M_PL_047",1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0
"Bombus sp1 M_PL_047",0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0
"Sicus ferrugineus",1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
"Syrphus torvus",1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
"Bombus jonellus",0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Bombus sp2 M_PL_047",0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Lasioglossum punctatissimum",1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
"Sphaerophoria menthastri-group",1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Andrena haemorrhoa",1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0
"Eristalis tenax",0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum fratellum",0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"Leptura melanura",0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Meligethes aeneus",1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Syrphus ribesii",0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Bombus bohemicus",0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus lapidarius",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chrysotoxum fasciatum",0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum sp1 M_PL_047",1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum villosulum",0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"Scatophaga stercoraria",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Syritta pipiens",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Volucella bombylans",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena fulva",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Andrena nigroaenea",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Andrena sp1 M_PL_047",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bellardia vulgaris",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus pratorum",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Callophrys rubi",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Cerceris arenaria",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coenosia means",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Gonia picea",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Lasioglossum leucozonium",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Megasyrphus erraticus",1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"Vespula vulgaris ",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Anarta myrtilli",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena clarkella",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Andrena lapponica",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Anoplius sp1 M_PL_047",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Bombus rupestris",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calameuta pallipes",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Dasysyrphus albostriatus",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dasysyrphus tricinctus",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Dilophus febrilis",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dolichovespula saxonica",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Empis sp1 M_PL_047",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eristalis lineata",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eupeodes nielseni",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"Formica fusca",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Formica rufa",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Gymnosoma nudifrons",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Helophilus pendulus",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Inachis io",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mellinus arvensis",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Micropterix aruncella",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Mimesa equestris",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myrmica ruginodis",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nomada panzeri",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Nomada sp1 M_PL_047",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phaonia angelicae",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
