"","Salix glauca","Epilobium latifolium","Cerastium alpinum","Ledum palustre","Dryas integrifolia","Saxifraga triscupidata","Polygonum viviparum","Pyrola grandiflora","Papaver radicatum","Pedicularis lapponica","Campanula gieseckiana","Rhododendron lapponicum","Stellaria longiceps","Tofieldia pusilla","Vaccinium uliginosum"
"Nysius groenlandicus",1,1,0,1,0,1,0,1,1,1,1,1,0,0,0
"Spilogona sanctpauli",1,1,1,1,1,1,0,1,1,1,0,0,0,0,0
"Eupeodes curtus",1,1,1,0,0,0,0,1,0,0,1,0,1,0,0
"Eupeodes luniger",1,1,1,0,0,1,1,0,0,1,0,0,0,0,0
"Smittia sp1 M_PL_052",1,0,1,0,1,1,0,0,0,1,0,1,0,0,0
"Sphaerophoria scripta",1,0,1,0,1,0,1,0,0,0,0,0,1,1,0
"Delia platura ",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"Eupithesia sobrinata",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Phaonia pallidisquama",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Syngrapha borea",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Aedes nigripes",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Delia fabricii",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Dolichopus groenlandicus",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Helophilus borealis",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Helophilus groenlandicus",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Lasiestra leucocycla",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nowickia sp1 M_PL_052",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ramphomyia nigrita",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Thysanoptera sp1 M_PL_052",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Aedes impiger",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Botanophila profuga",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Bradysia sp1 M_PL_052",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clossiana chariclea",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Colias hecla",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dasyhelea sp1 M_PL_052",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Drymeia groenlandica",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eurois occulta",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Forcipomyia sp1 M_PL_052",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Oedemagena tarandi",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Paregle audacula",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Pegoplata tundrica",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Periscepsia stylata",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Platycheirus hyperboreus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Platycheirus lundbecki",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Platycheirus varipes",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Stenomacrus sp1 M_PL_052",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Syngrapha u-aureum",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp1 M_PL_052",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp2 M_PL_052",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
