"","Cornus.canadensis","Maianthemum.canadense","Oxalis.montana","Chimaphila.umbellata","Aralia.nudicaulis","Linnaea.borealis","Clintonia.borealis","Cypripedium.acaule","Pyrola.secunda","Trillium.undulatum","Trientalis.borealis","Medeola.virginiana"
"Eusphalerum sp1 M_PL_004",0,0.574418164198503,19.6544457555378,0,20.2940626658479,2.63689438936105,0,7.91939564195841,0,0,0,0
"Paramyia nitens",0.574418164198503,0,0,75.8216885634059,0,0,0,0,0,0,0,0
"Parasyrphus relictus",2.14970500451195,21.2469793674363,0,0,0,0,1.99352963448686,0,0,0,0,0
"Dialictus sp1 M_PL_004",12.5221824268986,17.4016990145522,0.66453258288724,0,1.41658538093699,17.1178589384997,2.39079851761531,0,0.70914141430808,0.709141414308084,0,0
"Bombus vagans",11.1290021070779,1.10468845489792,0,7.08292690468494,10.0718428477379,2.53556291415047,12.7488328310815,5.07671094027654,0.630244475363824,0,0,0
"Eusphalerum phothos",1.31844719468053,0,13.0840019570787,0,5.07112582830095,0,0,0,0,0,0,0
"Bombus terricola",4.4194427958606,0,0,9.56319407046125,4.24961094369384,0,10.7582257462358,0,0,0,0,0
"Evylaeus quebecensis",9.23929491561814,2.22727222787716,0,0,2.53835547013827,15.3366014708043,0,0,0,0,0,0
"Blera confusa",3.27715812480534,0,0,0,0,0,0,0,0,0,0,0
"Xylota bigelowi",3.27715812480536,0,0,0,0,0,0,0,0,0,0,0
"Pidonia ruficolis",5.79163881790359,0,0,0,0,0,2.34975918615912,0,0,0,0,0
"Andrena w-scripta",8.19768778673174,0,0,0,2.25218978569038,0,0,0,0,0,0,0
"Dialictus cressoni",0,7.8881907927209,0,0,8.98993486183845,6.03518694798425,5.05749558771745,0,0,0,0,0
"Eusphalerum convexum",0,0,1.49387760880955,0,22.2915123386126,0,0,0,0,0,0,0
"Bombylius major",2.62639696511933,3.32394740447018,0,0,0,0,0,0,0,0,0,0
"Bombus perplexus",2.77087056129226,0,0,0,7.99317181242101,0,0,0,0,0,0,0
"Carposcalis confusus",0,-62.2228474268631,0,0,0,-142.818496607695,-119.682111368415,0,0,-35.4992447493359,-78.4211487768556,0
"Hylaeus ellipticus",0,0,0,0,0,7.69649903531116,0,0,0,0,0,0
"Sphaerophoria bifurcata",-4.4469540915969,-7.50404030407234,0,0,0,-17.2238301368457,0,0,0,-4.28118889409968,-9.45754631053929,0
"Anthaxia expansa",4.15264139447952,0,0,0,0,0,0,0,0,1.33261567753523,0,0
"Eclimus harrisi",2.68266651291235,0,0,0,0,31.1713083025875,0,0,0,0,0,0
"Tropidia quadrata",3.43933935440952,5.80373455701748,0,0,0,0,0,0,0,0,0,0
"Andrena melanochroa",3.03687985350352,0,0,0,0,0,0,0,0,0,0,0
"Andrena miranda",-159.894028497009,-134.907085783652,0,0,0,0,0,0,0,0,0,0
"Bombus ternarius",5.17408240268442,0,0,0,0,0,33.5873089822346,0,0,0,0,0
"Orthoneura pulchella",-159.894028496932,-134.907085783587,0,0,0,0,0,0,0,0,0,0
"Osmia proxima",79.0927766179578,0,0,0,0,153.170071183487,0,0,0,0,0,0
"Phaonia serva",39.5463883089686,0,0,0,0,306.340142366894,0,0,0,0,0,0
"Sphaerophoria sp1 M_PL_004",0,-10.8492732835179,0,0,0,-24.902057101442,-20.8679606781188,0,0,0,0,0
"Temnostoma balyras",3.03687985350353,0,0,0,0,0,0,0,0,0,0,0
"Tychius stephensi",3.03687985350356,0,0,0,0,0,0,0,0,0,0,0
"Xylota hinei",-159.894028497051,-134.907085783687,0,0,0,0,0,0,0,0,0,0
"Agiotes stabilis",0,3.87871298123597,0,0,0,0,0,0,0,0,0,0
"Ancistrocerus sp1 M_PL_004",6.8282074454442,0,0,0,0,0,0,0,0,0,0,0
"Andrena nivalis",-1.64874047426154,-2.78217735442622,0,0,0,0,0,0,0,0,0,0
"Andrena rufosignata",6.82820744544415,0,0,0,0,0,0,0,0,0,0,0
"Celastrina argiolus",6.8282074454442,0,0,0,0,0,0,0,0,0,0,0
"Chalcosyrphus nigra",6.82820744544417,0,0,0,0,0,0,0,0,0,0,0
"Cheilosia pallipes",0,0,-8.71311370367003,0,0,0,0,0,0,0,0,0
"Cheilosia sialia",6.82820744544421,0,0,0,0,0,0,0,0,0,0,0
"Crabro sp1 M_PL_004",-1.75830806709711,0,0,0,0,-6.81023434290749,0,0,0,0,0,0
