"","Leucanthemum.vulgare","Lotus.corniculatus","Lathyrus.pratensis","Vicia.cracca","Hypochoeris.radicata","Ranunculus.acris","Trifolium.dubium","Prunella.vulgaris","Achillea.millefolium","Centaurea.nigra","Trifolium.repens","Vicia.sativa","Lychnis.flos.cuculi","Plantago.lanceolata","Trifolium.pratense","Cirsium.arvense","Taraxacum.officinale"
"Bombus terrestris/lucorum",4.4916997074279,318.165869840715,36.1686187508483,24.0038846631089,2.75946497119188,0.332238753984798,4.90096018457774,0.190769833690973,0,0,3.1339313761566,0.796795330611536,0,0,0,0,0
"Phaonia incarna",140.454570520357,2.39594605040302,0.500637501187256,0.842678558528398,5.34742097902869,2.41435455104359,0,0,0.585313752488036,0.493598072426987,0,0,0,0,0,0,0
"Tropidia scitta",52.0828110012216,0,0,0,0.838015366504262,0.504483992538657,0,0,0,0,0,0,0,0,0,0,0
"Helophilus sp1 M_PL_006",78.2735369449202,6.74142846822718,0,0.889135821172666,1.88074226533374,0.849153015155605,1.78944683947814,0,0.617582373130438,0,0,0,0,0,0,0,1.3912519939283
"Eristalinus sepulcharius",35.321151631256,0,0,0,1.49183821992498,0.898084368725818,0,0,0.653169765413134,0,0,0,0,0,0,0,0
"Bombus pascuorum",0.996716261954393,37.8248879663496,9.08071186569582,3.39661206062242,0.898084368725818,0,1.70897869933918,0.931307739639217,0,0,0,1.29660901473024,3.70068629419297,0,1.44552638407802,0,0
"Lucillia sp1 M_PL_006",47.6093275073267,1.69594841119533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maniola jurtina",3.62462684012849,8.77996541376726,0,3.41305595074513,0,0,0,2.40638514363073,1.01599929640903,1.42799564667362,0,0,0,0,0,0.774683357915183,0
"Pollenia sp1 M_PL_006",13.2899061721906,0,0,0,0,0,0,0,0,0,0,0.471506817998333,0,0,0,0,0
"Anthomyidae sp1 M_PL_006",3.46411956460965,0,0,0,0.826232091263138,7.9582476565362,0,0,0,0,0,0,0,0,0,0,0
"Eristalis nemorum",15.669656880783,0,0,0,0.605101591170448,0,0,0,0,0,0,0,0,0,0,0,0
"Chrysogaster sp1 M_PL_006",7.96795330611536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Syritta pipiens",14.6556639918081,0,0,0,0.683037195103819,0,0,0,0,0,0,0,0,0,0,0,0
"Eristalis intricarius",13.4893448311506,0,0,0,0.701220107985903,1.26640035683636,0,0,0.921043114431988,0,0,0,0,0,0,0,0
"Lejogaster splendida",7.69867275861569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena wilkella",2.76363894136869,9.37214161574112,0.839282949598817,5.6507612353303,0,0,22.745089315761,0,0,0,0,0,0,0,0,0,0
"Bombus hortorum",1.08867970952656,17.1412697131146,4.13273195759482,5.56500797571318,0,0,0,0,0,0,0,1.06218187116623,0,0,0,0,0
"Eristalis tenax",-63.3852872800851,-8.08098620045767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cheilosia albitarsis",1.40300518977407,0,0,0,0,7.53417101321112,0,0,0,0,0,0,0,0,0,0,0
"Empis livida",7.95208666904186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scathophaga stercoraria",-19.6181555137417,-3.39437359426128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psithyrus vest",-8.54970504604066,-2.07100255869339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasiommata megera ",11.9136628636333,23.0868561112957,0,0,0,5.81605918382628,0,0,0,0,0,0,0,0,0,0,0
"Megachile willughbiella",0,7.70599650337864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Syrphus sp1 M_PL_006",-38.3388246336697,0,0,0,-8.63623390956438,0,0,0,0,0,0,0,0,-48.7122594965623,0,0,0
"Thymelicus sp1 M_PL_006",-0.992814770246915,-16.8343275340182,0,0,-1.34185343447271,0,0,0,0,0,0,0,0,0,0,0,0
"Lycaena phlaeas ",43.8488454440853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Odontomyia tigrina",-4.23468078035516,-1.46538634693714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Micromoth sp1 M_PL_006",-10.0448457255574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Platycheirus sp1 M_PL_006",-2.37076546046581,-1.14854519734815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sphaerophoria sp1 M_PL_006",-3.85661347253541,0,-1.46400723799372,0,-1.30311569404541,0,0,0,0,0,0,0,0,0,0,0,0
"Helophilus trivittatus",-4.58082537142196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neoascia tenur",0,0,0,0,0,2.0066953456172,0,0,0,0,0,0,0,0,0,0,0
"Odontomyia viridula",12.6505210311485,0,0,0,0,0,0,0,5.61449724439263,0,0,0,0,0,0,0,0
"Polyommatus icarus ",-1.07415370214923,-3.90289791332258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhagio tringarius",-4.58082537142201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zygaena filipendulae ",0,10.0752802749034,0,5.31536759189364,0,0,0,2.91481210630271,0,3.11347093271409,0,0,0,0,0,0,0
"Andrena haemorrhoa",-2.27193968851123,0,0,0,-1.53533678451694,0,-5.84323244546395,0,0,0,0,0,0,0,0,0,0
"Bombus pratorum",-0.814847671463243,-0.986906333878283,0,0,0,0,0,0,0,0,0,0,0,0,-0.8863233096511,0,0
"Melanostoma sp1 M_PL_006",-1.21157968456614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ochlodes venata ",0,-6.04680806452305,0,-3.19008570914174,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena pubescens",-0.23308799418387,-0.564611094483375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Autographa sp1 M_PL_006",0,-3.8826653519919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eriothrix rufomaculatus",-0.559421003617766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eristalis pertinax",-0.559421003617767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sarcophagus sp1 M_PL_006",-0.559421003617769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adela rufimatrella",-0.183354696557161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anosymia sp1 M_PL_006",-0.183354696557161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus lapidarius",0,-0.774756863275236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chloromyia formosa ",0,0,0,0,0,0,7.91495405253858,0,0,0,0,0,0,0,0,0,0
"Lasioglossum calceatum",0,0,0,0,0,1.41952266088761,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum leucozonium",0,0,0,0,4.75363056445533,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum villosulum",0,0,0,0,0,1.41952266088761,0,0,0,0,0,0,0,0,0,0,0
"Malachius viridus ",-0.18335469655716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meliscaeva sp1 M_PL_006",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.87281835595758,0,0,0
"Nemotelus pantherinus",-0.183354696557161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oligia sp1 M_PL_006",-0.183354696557161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parhelophilus sp1 M_PL_006",-0.18335469655716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyronia tithonus ",0,-0.774756863275235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhagonycha fulva",-0.183354696557163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tetanocera ferruginea ",-0.183354696557161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
