"","Centaurea.nigra","Leucanthemum.vulgare","Cirsium.palustre","Ranunculus.acris","Cirsium.arvense","Filipendula.ulmaria","Galium.verum","Hypochoeris.radicata","Primula.veris","Lotus.corniculatus","Lathyrus.pratensis","Orchis.morio","Taraxacum.officinale","Trifolium.repens","Cerastium.fontanum","Trifolium.dubium"
"Bombus lapidarius",227.339078062284,14.0442281624346,10.6751061322377,1.36877789356296,1.72509593113388,4.19257112211819,0,20.44792692944,1.54717900991414,6.56984766345627,0,0,0,0,0,0.279996535757486
"Maniola jurtina",42.912919385217,9.73310017754172,0,0.550804032035016,4.16513065699378,0,0,0,0,0,0,0,0,0,0,0
"Bombus pascuorum",46.7035893285401,0,11.0200719993579,1.8840132361952,0,0,0,0,0,12.0571594227201,-30.550959840542,-13.3099395025854,0,10.2939961294083,0,0
"Calocoris bipunctatus",24.6380020841333,0,0,0,1.2178252947379,0,0,0,0,0,0,0,0,0,0,0
"Empis livida",9.48802762123634,13.8837688566459,0,0,1.5348475970164,0,0,0,0,0,0,0,0,0,0,0
"Psithyrus vest",25.1554267327091,5.06134360333323,46.1659091655814,0,0,0,0,0,0,0,0,0,0,0,0,0
"Episyrphus balteatus",12.2017635706197,0,0,0,0,26.3840706445064,28.7948775337781,32.1699699853559,0,0,0,-15.213407055444,0,0,0,0
"Bombus pratorum",40.8958538588799,20.5709060842874,56.2898702104807,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apis mellifera",21.660506138798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus terrestris/lucorum",17.5195937692167,8.8124805831183,0,0,0,0,0,0,6.98993855309265,0,0,0,0,0,0,0
"Eristalis tenax",-8.32348420916252,-20.0965051432238,0,0,0,-11.9986696519709,0,0,0,0,0,0,0,0,0,0
"Helophilus sp1 M_PL_007",-9.66996972515524,-38.9125097601312,0,-6.82648049775608,0,0,0,0,0,0,0,0,0,0,0,0
"Syrphus sp1 M_PL_007",-22.949328321937,-5.27710892704841,0,0,0,-28.3564020976171,0,-34.5748242060201,0,0,0,0,0,0,0,0
"Scathophaga stercoraria",0,7.52379875164996,0,5.27964562181012,0,0,0,0,0,0,0,0,-12.645724895826,0,0,0
"Sphaerophoria sp1 M_PL_007",0,-4.21338270758186,0,0,0,-11.3202490131432,-16.4728275317997,0,0,0,0,26.1096263008672,17.7042476678507,0,0,0
"Anthophora plumipes",0,0,0,0,0,0,0,0,4.46850219429748,0,0,0,0,0,0,0
"Cheilosia bergenstammi",0,0,0,2.50316402670104,0,0,0,0,0,0,0,0,0,0,0,0
"Lucillia sp1 M_PL_007",0,-60.76600756275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Melanostoma sp1 M_PL_007",0,-3.42385272166707,0,-3.003258332054,0,-9.1989900000904,0,0,0,0,0,0,0,0,0,0
"Platycheirus sp1 M_PL_007",-1.24492758874228,-0.500965962918905,0,0,0,-2.69192705288611,0,0,0,0,0,0,0,0,0,0
"Eriothrix rufomaculatus",0,0,0,0,2.13755639277378,0,0,0,0,0,0,0,0,0,0,0
"Eristalis nemorum",0,-5.17919424734061,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meliscaeva sp1 M_PL_007",0,-2.05430745470062,0,-7.20780533682103,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena chrysosceles",0,-1.53508713223114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pollenia sp1 M_PL_007",0,-1.53508713223114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena pubescens",0,0,0,5.32751162914619,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus hortorum",-0.318048232301322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cephus pygmaeus",0,0,0,5.32751162914634,0,0,0,0,0,0,0,0,0,0,0,0
"Eristalis intricarius",0,0,0,0,0,0,0,0,2.53356853296642,0,0,0,0,0,0,0
"Lasioglossum calceatum",0,0,0,5.32751162914619,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum villosulum",0,0,0,0,0,0,0,-55.2040935783871,0,0,0,0,0,0,0,0
"Lycaena phlaeas ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2809482500014896,0
"Panameria tenebrata",0,0,0,0,0,0,0,0,0,0,0,0,-88.5171642335443,0,0,0
"Sarcophagus sp1 M_PL_007",0,-0.393717992260739,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tropidia scitta",0,-0.393717992260741,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Volucella bombylans",0,-0.393717992260738,0,0,0,0,0,0,0,0,0,0,0,0,0,0
