"","Xysmalobium.gerrardii","Sisyranthus.trichostomus","Pachycarpus.natalensis","Asclepias.woodii","Miraglossum.verticillare","Xysmalobium.involucratum","Aspidonepsis.diploglossa","Miraglossum.pilosum","Asclepias.cucullata"
"Aspilocoryphus fasciativentris",140.521671495609,0.52485752432784,1.88074962862439,0,0.555289412429549,1.57223884412639,0,0,1.02510579883831
"Hemipepsis hilaris",21.5191584974414,0.544984742776133,4.88218137815025,0,5.18925268696692,0.81626550285831,0,7.55625333643558,0
"Atrichelaphinis tigrina",7.05281110734145,8.54381741176293,0,4.22310986239143,0.258262814496126,4.38745079436284,0,0,0
"Sarcophaga sp1 M_PL_013",32.0829654423831,0,3.09694723242038,0.362467240079089,1.9949902174511,0.941431333919263,0,0,0
"Cyrtothyrea marginalis",3.3317364745773,12.1082562695895,0,2.65998695660146,0.305007331824063,0,0,0,0
"Diptera sp3 M_PL_013",23.5835826618958,0,0.731241799060473,0.941431333919263,0.863593585800593,0,0,0,0
"Unidentified sp15 M_PL_013",4.90726724818784,6.3693137066396,0,0,0,1.90796205748026,0,0,0
"Unidentified sp20 M_PL_013",12.9372230753654,0,0.752131133877866,0,0.88826380512219,5.03003596677364,0,0,0
"Unidentified sp6 M_PL_013",0,0,4.29095229540475,0.613816865811478,0,0,2.48799726122179,0,0
"Unidentified sp19 M_PL_013",4.08052660532315,0,0,0,0,6.34609002831083,0,0,0
"Unidentified sp25 M_PL_013",12.5717396635623,2.1756400512594,0,0,0,0,0,0,0
"Unidentified sp4 M_PL_013",7.15461265353064,0,0,4.28406699099945,0,33.380850371935,8.68235098623939,0,0
"Apis mellifera",-15.2787868672053,-2.64411621084499,0,0,0,0,-6.18043196508381,0,0
"Musca domestica",11.388948451434,0,0,0,0,0,9.21390181952443,0,0
"Unidentified sp13 M_PL_013",20.2947456088129,0,0,0,0,10.520887391281,0,0,0
"Unidentified sp33 M_PL_013",20.2947456088127,0,0,0,0,10.5208873912809,0,0,0
"Unidentified sp9 M_PL_013",0,0,0,0,0,3.72024433735455,0,0,0
"Unidentified sp11 M_PL_013",-2.45198345007906,-1.27300601391206,0,0,0,-3.81335774206957,0,0,0
"Unidentified sp12 M_PL_013",1334.33485713202,0,0,0,0,0,0,0,0
"Unidentified sp28 M_PL_013",0,0,1.11144935259273,0,0,0,0,0,4.84637895067931
"Unidentified sp10 M_PL_013",0,0,11.370783201595,0,0,38.0222582859442,0,0,0
"Unidentified sp16 M_PL_013",0,0,0,1.07152760017208,0,0,0,0,0
"Unidentified sp17 M_PL_013",-4.98733858273863,0,0,0,0,0,0,0,0
"Unidentified sp2 M_PL_013",0,0,0,0,0,0,4.62669602932397,0,0
"Unidentified sp30 M_PL_013",-1.59336483547619,0,0,0,0,0,-1.93359912278536,0,0
"Unidentified sp38 M_PL_013",0,0,0,0,0,0,0,0,1.93418854697167
"Unidentified sp5 M_PL_013",-2.50939522894763,0,0,0,0,-3.90264531512697,0,0,0
"Unidentified sp7 M_PL_013",-4.98733858273878,0,0,0,0,0,0,0,0
"Unidentified sp8 M_PL_013",-4.98733858273872,0,0,0,0,0,0,0,0
"Actea sp1 M_PL_013",-0.917095066668968,0,0,0,0,0,0,0,0
"Arge sp1 M_PL_013",0,-1.21730521629575,0,0,0,0,0,0,0
"Dacus sp1 M_PL_013",0,0,-2.19810687834359,0,0,0,0,0,0
"Diptera sp1 M_PL_013",0,-1.21730521629575,0,0,0,0,0,0,0
"Diptera sp2 M_PL_013",0,0,-2.19810687834351,0,0,0,0,0,0
"Homoecerus annulatus",0,0,-2.19810687834353,0,0,0,0,0,0
"Microphthalma sp1 M_PL_013",0,0,-2.19810687834354,0,0,0,0,0,0
"Microphthalma sp2 M_PL_013",-0.917095066668965,0,0,0,0,0,0,0,0
"Spilostethus rivularis",0,0,-2.19810687834359,0,0,0,0,0,0
"Tiphia sp1 M_PL_013",0,0,0,1.3982350729055,0,0,0,0,0
"Unidentified sp1 M_PL_013",-0.917095066668967,0,0,0,0,0,0,0,0
"Unidentified sp14 M_PL_013",-0.917095066668966,0,0,0,0,0,0,0,0
"Unidentified sp18 M_PL_013",0,-1.21730521629573,0,0,0,0,0,0,0
"Unidentified sp21 M_PL_013",-0.917095066668969,0,0,0,0,0,0,0,0
"Unidentified sp22 M_PL_013",-0.917095066668968,0,0,0,0,0,0,0,0
"Unidentified sp23 M_PL_013",-0.917095066668968,0,0,0,0,0,0,0,0
"Unidentified sp24 M_PL_013",-0.917095066668967,0,0,0,0,0,0,0,0
"Unidentified sp26 M_PL_013",-0.917095066668968,0,0,0,0,0,0,0,0
"Unidentified sp27 M_PL_013",0,0,0,0,0,0,-7.36340505821842,0,0
"Unidentified sp29 M_PL_013",-0.917095066668968,0,0,0,0,0,0,0,0
"Unidentified sp3 M_PL_013",0,0,0,0,0,0,0,0,2.82355901251511
"Unidentified sp31 M_PL_013",-0.917095066668969,0,0,0,0,0,0,0,0
"Unidentified sp32 M_PL_013",-0.91709506666897,0,0,0,0,0,0,0,0
"Unidentified sp34 M_PL_013",0,0,0,0,0,5.30075496872522,0,0,0
"Unidentified sp35 M_PL_013",0,0,0,0,0.758102570347192,0,0,0,0
"Unidentified sp36 M_PL_013",-0.917095066668963,0,0,0,0,0,0,0,0
"Unidentified sp37 M_PL_013",0,-1.21730521629575,0,0,0,0,0,0,0
