"","Daucus.carota","Leontodon.hispidus","Torilis.japonica","Eupatorium.cannabinum","Centaurea.nigra","Leontodon.autumnalis","Knautia.arvensis","Trifolium.pratense","Aethusa.cynapium","Hypochoeris.radicata","Crepis.capillaris","Linum.catharticum","Chamerion.angustifolium","Plantago.major","Angelica.sylvestris","Leontodon.saxatilis","Senecio.jacobea","Agrimonia.eupatoria","Clematis.vitalba","Euphrasia.officinalis","Convolvulus.arvensis","Medicago.lupulina","Lathyrus.pratensis","Lotus.corniculatus","Rubus.fruticosus"
"Unidentified sp32 M_PL_017",41.994890876063,46.7512638850384,17.8889921069563,2.8185813719413,1.24538958807474,15.9591046282496,2.81036381550359,1.34809065928087,10.0955362375756,9.66326326735022,13.7436467621421,0.814559547743892,3.30373506952585,0,0.687373940697536,10.8471904205277,6.08124793586084,1.48661102190425,0.908648503422241,0,0,0,0,0,0
"Sphaerophoria scripta",17.1533414254457,34.0088574353487,1.24948424228802,7.52473866575525,3.32480420136338,12.7817588872,0.937850042129267,2.69923817256539,0,16.9298836026413,6.87961445976085,13.0477291565586,1.10249358358734,0,0,4.65406656760958,6.08814268250564,2.97659299873865,0,0,11.2737877697448,-6.35734458082487,0,0,0
"Eriothrix rufomaculata",36.6100303584221,7.91340020115747,13.9095203369378,18.0331665432473,1.54218403648809,0.98811956635905,1.74005718953116,6.67744106547612,12.5014493251422,1.49576992753802,0,3.0260427981614,10.9095018057977,0,0,0,0,1.84089204567077,0,-28.2984025482415,0,0,0,0,0
"Unidentified sp22 M_PL_017",45.567065513051,0.940592333219406,12.7977310952078,18.3920543307883,1.74139828903862,1.11576159622407,0,0,14.1163453584185,0,1.92174105082604,0,0,0,0.961138438704043,0,0,0,0,0,0,0,0,0,0
"Episyrphus balteatus",21.5867528599621,14.5460183809648,18.506208437857,2.32186438538483,4.61661881281679,0,0,1.66577611766714,14.0339345312566,4.47767544192899,0,1.00651527529561,0,0,0,3.82954124718281,2.50477654140693,3.6738792298581,3.36833053311603,0,13.9147457333418,0,0,0,0
"Unidentified sp31 M_PL_017",85.3812097611355,0.79885993045,32.6079456898487,0,0,0,0,0,2.99730878962094,0,3.26433007794396,0,2.61562838055426,0,0,0,4.81463687477443,0,2.15818166119519,0,0,0,0,0,0
"Unidentified sp42 M_PL_017",2.81036381550359,27.1976512217488,0,0,1.73632125317116,7.78756020166935,0,1.87950701156049,0,5.05219296839468,7.66455290703854,1.13565832592807,6.1414200246982,0,0,0,5.65231428405827,0,0,0,31.4002126606586,-2.95112248979749,0,0,0
"Unidentified sp39 M_PL_017",84.9297115346949,2.69923817256539,10.0161615982142,1.88500272526751,0,0,0,0,0,0,5.51486187902573,0,0,0,1.37909988804081,0,0,0,3.64609996144579,-91.6987895433111,0,0,0,0,0
"Symphyta sp1 M_PL_017",66.8829275739384,2.52674556764581,12.5014493251422,0,0,0,1.75939865517912,0,4.74015306711805,0,5.1624391469551,0,0,0,1.2909696390875,0,0,0,0,0,0,0,0,0,0
"Syritta pipiens",48.3163163367511,7.25566440113198,8.97461956522811,3.3779771168449,0,2.868969339127,1.68406432279823,4.84692701493307,0,0,0,2.92866852095661,0,0,1.23569260701841,0,0,0,0,0,0,0,0,0,-6.83491439383974
"Unidentified sp17 M_PL_017",61.8464104296397,1.37592289195217,0,13.4521873557823,1.69824176055358,0,3.83227645351927,11.0297237580515,5.1624391469551,0,5.62234543244778,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp18 M_PL_017",26.0659055278045,0,4.03472373088187,14.8067271578877,0,0,0,0,3.05967853334414,0,0,0,2.67005589644292,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp15 M_PL_017",34.1385957184338,2.20498716717469,1.36368772572471,0,0,0,0,0,0,0,13.5151463797306,0,0,0,0,0,6.64460196263914,0,0,0,0,0,43.2669140920437,0,0
"Eristalis tenax",5.31601907080023,11.7085016897962,0,5.94660922367221,1.31375401917344,2.52527458658755,14.82317980378,4.26627829267063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus pascuorum",0,0,0,0,2.97275172298892,0,1.91667249114262,19.3073984325713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5031480803052,4.62587791925328,0
"Melanostoma mellinum",18.5951835780475,0,3.83778103711876,0,0,0,0,0,11.6413187501004,11.1428581121487,6.33920453482729,3.75712477795094,0,19.6159478101096,0,0,9.34984121744834,6.85693651377782,0,0,0,0,0,0,0
"Episyrphus arbustorum",24.3249917434433,16.2350471533484,0,5.66884175689886,0,4.81463687477443,2.82615714202913,0,0,0,0,0,0,0,2.07371027305831,0,0,0,0,0,0,0,0,0,0
"Unidentified sp13 M_PL_017",19.3259432847553,0,5.52267613701231,8.31476965858387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp33 M_PL_017",0,13.645180550339,0,0,0,0,0,0,0,3.26695608191895,3.71716171939817,0,0,0,0,0,0,4.02074767919645,0,0,0,0,0,0,0
"Scatophaga stercoraria",-228.523542319781,-22.8782635838625,0,0,0,0,-63.7214711250632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp16 M_PL_017",101.349183094851,0,41.8340557248468,0,0,0,0,0,42.2990588043921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Melanostoma scalare",-8.46685995512536,-4.23822972054992,-2.62115895038119,0,0,0,0,-8.49366329215312,0,0,-8.6592030884775,0,-6.93840904883935,-13.3974598017401,0,0,0,0,0,0,0,0,0,0,0
"Platycheirus clypeatus",13.1995281529652,0,0,0,0,0,0,0,0,0,0,0,0,375.950786694694,0,0,0,116.815186483306,0,0,0,0,0,0,0
"Unidentified sp19 M_PL_017",27.1311869488069,0,0,31.6140714685098,0,0,6.30438016800281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp38 M_PL_017",-17.1091411127887,-1.90317099692532,0,-2.65814447373846,0,0,0,0,0,0,0,0,0,0,-1.94474347277603,0,0,0,0,0,0,0,0,0,0
"Unidentified sp29 M_PL_017",85.5839362370428,0,0,0,0,0,0,0,32.1473529134675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus muscorum",0,0,0,0,0,0,0.696982151244058,18.0539390025198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eristalis pertinax",0,-8.24490423354202,-10.1982223483537,-57.5779755479128,0,0,-22.9640429275035,-33.0465524774185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp8 M_PL_017",-5.24872167599164,0,-10.8326139576354,-2.44638706734374,-2.16187122529102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Helophilus pendulus",0,-42.3736384628393,-10.4824937806983,0,-10.4599876642934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575.808595933617,0,0,0,0,0
"Platycheirus albimanus",51.2297438917981,34.1918844828174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3484.71037251877,0,0,0,0,0
"Syrphus vitripennis.",-13.3262972621225,0,-5.50071589376067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyonia tithonus",0,0,0,10.3211715868651,4.56040750108325,0,2.57277006884419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus lapidarius",-3.31723465481946,0,0,0,-12.2968812816575,0,0,-13.3109437824314,0,0,0,0,-10.8736089025259,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus terrestris",0,0,0,0,3.15574867290522,0,1.78032680818914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meliscaeva auricollis ",-3.27474585998039,0,-4.0551654174534,0,0,0,0,0,-12.3007208468569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metasyrphus corollae",-763.843822177784,0,0,0,0,-453.561999726115,0,0,0,0,0,0,0,0,0,0,0,-844.997615613389,0,0,0,0,0,0,0
"Polyommatus icarus ",0,0,0,0,1.31929645657078,0,0,6.42641516462086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.18531757990985,0
"Rhingia campestris",-1.27560032087191,-1.27704656038149,0,0,0,0,-5.33532310424838,0,0,0,0,0,-4.18130776034974,0,0,0,0,0,0,0,0,0,0,0,0
"Syrphus ribesii",-14.4428292429855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp43 M_PL_017",-4.55297957104408,-4.55814161030845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apis mellifera",0,0,0,0,2.45884640948819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chrysotoxum bicinctum",-6.84945796983946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp10 M_PL_017",-6.8494579698394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp27 M_PL_017",0,2.90544477755341,0,0,0,13.7861370468462,0,0,0,0,0,0,19.0260232830078,0,0,0,0,0,0,0,0,0,0,0,0
"Aglais urticae",0,-2.8550836841301,0,-1.99383684631914,0,0,-1.98802382740994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pieris brassicae",0,0,0,0,0,2.83990262421358,0,0,0,12.8967417113916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp1 M_PL_017",0,-4.10516559648384,0,0,0,0,-5.71693717185037,-16.4539898184379,0,0,0,0,0,0,0,-18.9134758333187,0,0,0,0,0,0,0,0,0
"Unidentified sp12 M_PL_017",-1.86728583936282,-0.623134305050822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp2 M_PL_017",0,5.07027127428476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp20 M_PL_017",-0.946491592717287,-0.94756469807363,0,0,0,-2.24806488998161,0,0,0,0,0,0,0,0,0,0,-5.71086339755445,0,0,0,0,0,0,0,0
"Unidentified sp24 M_PL_017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31484976900204,0,0,0,0,0,0,0,0,0,0
