"","Kunzea.muelleri","Aciphylla.glacialis","Hypochoeris.radicata","Orites.lancifolia","Prostanthera.cuneata","Craspedia.sp1.M_PL_019","Gentianella.diemensis","Wahlenbergia.ceracea","Microseris.lanceolata","Helichrysum.scorpioides","Baeckia.gunniana","Celmisia.longifolia","Epacris.petrophila","Oxylobium.ellipticum","Senecio.lautus","Euphrasia.collina","Helipterum.albicans","Senecio.gunnii","Achillea.millefolium","Richea.continentis","Leucopogon.montanus","Phebalium.ovatifolium","Helichrysum.alpinum","Brachycome.scapigera","Pentachondra.pumila","Pimelea.ligustrina","Prasophyllum.alpinum","Asperula.gunnii","Leptorhynchos.squamatus","Neopaxia.australasica","Olearia.phlogopappa","Epilobium.gunnianum","Brachycome.stolonifera","Epacris.microphylla","Senecio.pectinatus","Stylidium.graminifolium","Aciphylla.simplicifolia","Brachycome.scapiformis","Brachycome.sp1.M_PL_019","Stackhousia.pulvinaris"
"Leioproctus sp1 M_PL_019",73.1092424511455,0,6.00839836579416,23.4179811943914,8.07679173203075,1.61299923270828,0,21.1415637938803,1.41288485344832,0,0,0,3.40784970083186,-28.6683927399146,55.926478234774,0,0,0,0,539.349574946193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Incurviseta sp1 M_PL_019",0,20.2545477562413,1.35484449455973,2.21046800928355,0,29.8248827330796,0.890549159320753,2.04310672937803,74.5509802734018,60.6812501393526,2.04361147457009,31.7531486137287,0,0,1286.31808435379,7.22448366515374,0,9.29160781691568,0,0,0.665025042092052,3.26311981897609,1.28163142660965,15.4275428151123,0,0.83351157913834,1.86644589127854,0,23.6845892980197,0,0,0,-14.3416302991358,0,-5.52679352321789,0,0,0,0,0
"Unientified sp1 M_PL_019",0,56.2260465242288,31.0849713308707,4.14008412169809,5.96942632035361,0.681223817850758,0,6.69659500340593,0,0,0,1.29286713548903,4.31774858311188,-133.183889450788,0,20.2965865038222,0,0,0,0,1.2455550615226,3.05582132222758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum sp6 M_PL_019",0.544604213823056,0,35.1907150344337,1.50103712902577,11.130619232709,4.44574550826347,0,8.3243341585916,3.89419062547525,0,0,5.62493374401366,18.7854181119134,-158.031542319598,0,22.0763122481372,0,0,102.15520508147,0,0.677386378621901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dilophus sp1 M_PL_019",0,0,0.852775188621945,0,0,0,52.6903225089192,3.85795727889708,0,0,2.57260691938346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Exonera sp1 M_PL_019",0,0,0,5.18670309297405,34.7979440541278,0,0,0,0,0,0,2.77663839256693,0,-26.0030587387303,152.180784439067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.512205759140718,0,0,0,0,0,0,0,0
"Calliphora sp2 M_PL_019",0,0,0,3.62840995051469,0,0,1.09635518955641,0,0,0,12.579451803036,0,96.4949786737986,0,93.1521391928802,0,-5.71545399201907,0,0,224.587566859204,6.54969934855654,8.0344544941404,0,3.79857000602927,0,0,4.59556357448076,0,0,0,0,0,-17.6559829859923,0,0,0,0,0,0,0
"Musca vetustissima",0,3.06466009406705,0.95665642905799,2.0810835396479,0,0,2.51526896873353,0,0,0,28.8599033098549,11.6978688933642,39.0670127295385,0,0,0,-6.55622566723395,0,0,0,0.939149082505829,0,14.4793702760382,0,0,0,0,0,0,0,0,1.43860187985925,0,0,0,0,0,0,0,0
"Poecilohetaerus sp1 M_PL_019",0,15.2925087740311,0,3.89419062547525,0,0,2.35332620050613,0,0,0,16.2010745047324,0,0,0,199.951048605422,57.2733122581434,0,1.29229451711235,0,0,1.75736604674537,0,6.77356613964582,0,0,0,4.93218815806079,-53.9093319118181,0,-25.2232166419276,97.1539862380249,0,0,0,0,0,0,0,0,-15.3008180681526
"Comptosia sylvana",0,24.8948718520421,0,1.58485075962907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
