"","Potentilla.vahliana.","Dryas.integrifolia","Astragalus.alpinus","Taraxacum.sp1.M_PL_024","Caltha.palustris.","Cerastium.alpinum","Arnica.alpina","Papaver.radicatum","Geum.rossii.","Oxytropis.arctica.","Petasites.frigidus."
"Spilogona sanctipauli",17.6087416918037,12.6089207531737,0,1.15279181891907,9.30095660189211,2.64475144242861,-18.8910662746445,0,0,0,0
"Bombus polaris",0,0,35.2177108652889,0,0,0,0,0,0,0,-1.95254540060717
"Spilogona almquistii ",12.9427908880642,7.04354217305778,0,9.65951561469134,8.65943529950382,0,-26.3821195731595,4.91849497848889,32.0388738311365,0,0
"Colias hecla",0,0,35.4182239205349,0,0,0,0,0,0,0,0
"Eupogonomyia probilofensis ",21.7022320710816,5.62403860717914,0,0,0,0,-31.597892517676,0,0,0,0
"Boloria improba ",0,6.39684060694804,0,0,0,0,0,0,0,0,0
"Pogonomyiodes segnis ",-9.44553313732227,-42.8359511581451,0,0,0,0,0,-17.9473684257363,0,0,0
"Spilogona latilamina",8.80479052796332,0,0,0,0,0,0,0,0,0,0
"Boreellus atriceps",34.412425841899,0,0,14.2682331652191,0,0,0,0,0,0,0
"Spilogona dorsata",-7.63563407089785,0,0,0,-12.7716424879821,0,0,0,0,0,0
"Spilogona projecta ",0,-1.95254540060717,0,0,0,-4.09551092099882,0,0,0,0,0
"Spilogona aesturium ",0,0,0,2.90246782710619,0,0,0,0,0,0,0
"Spilogona melanosoma",-1.60788653842107,0,0,0,-5.37882036757644,0,0,0,0,0,0
"Anarta richardsoni",0,0,0,0,0,0,0,0,0,-9801589159315880,0
"Colias nastes ",0,0,-1.7205504324827,0,0,0,0,0,0,0,0
"Protocalliphora sp1 M_PL_024",-0.905848696258512,0,0,0,0,0,0,0,0,0,0
"Rhamphomyia sp1 M_PL_024",0,0,0,9.07241301561363,0,0,0,0,0,0,0
"Spilogona hurdiana ",0,0,0,0,-23.9064668022244,0,0,0,0,0,0
