"","Claytonia.virginica","Erythronium.umbilicatum","Stellaria.pubera","Thalictrum.thalictroides","Cardamine.angustata.angustata","Hepatica.americana","Sangiunaria.canadensis","Tiarella.cordifolia.collina","Aesculus.sylvatica","Viola.papilionacea","Uvularia.sessilifolia","Podophyllum.peltatum","Trillium.catesbei"
"Bombylius major",49.8194978905769,0.620811884137836,17.8269541913664,39.7086021077536,21.6752230600124,9.3484690468836,6.45722711749168,2.52264754653715,0,9.63482837004847,0,0,0
"Andrena erigeniae",117.333446102051,0,1.1416830004414,0.795514698085904,1.42913561352966,0,0,0,0,0,0,0,0
"Andrena nigrihirta",1.8995934794079,103.893153040167,1.07488702782818,0,5.38208708160281,15.472785907154,0,0,0,0,4.16668104347048,0,0
"Andrena tridens",0.610901570888516,57.2770582621851,0,0,2.81264329380702,10.7813014687252,0,0,0,0,1.16132271778949,0,0
"Apis mellifera",1.09747964860822,37.1575259517712,0,0,3.15805659295698,4.30411542956698,15.6080547872024,0.725905371106553,0,0,0,0,0
"Nomada sp1 M_PL_025",14.9575504750138,1.21735560780776,25.214910367214,1.19792238541391,2.15205771478349,7.33259881739908,0,0,0,0,0,0,0
"Bombus bimaculatus",0,0,0,0,3.71620352076247,2.53240694748734,0.874599184734465,15.3756008785684,23.2024670179375,0,0,10.9589634993567,3.9014949098786
"Gonia sp1 M_PL_025",11.6672449027343,0,1.54639641710812,6.46509273625661,1.45181074221311,4.94668226521522,0,0,0,0,0,0,0
"Halictid sp1 M_PL_025",7.53743941314383,0,0,7.90245160199834,0,1.34365752222626,0,0,0,0,0,0,0
"Dialictus abanci",3.96728227001996,4.42815972932724,2.08454161460088,8.71494184924674,0,11.1135421271137,0,0,0,0,2.15479885917121,0,0
"Hylema platura",3.62513952920133,0,0,0,0,7.10856871093498,0,0,0,0,0,0,0
"Osmia conjucta",9.43959287598175,14.0482483774991,11.5730416818753,0,3.1043354450097,0,0,3.56778560947039,0,12.824995355026,0,0,0
"Nomada perplexa",4.32075158036064,15.0039288498607,3.53152505575913,0,3.31551855373147,0,0,0,0,0,0,0,0
"Andrena carlini",-36.5101041063317,-380.347025829255,-89.5235551328243,0,-588.334791192794,-143.185983100864,-197.804455100982,0,0,0,0,0,-220.596213727919
"Platycheirus obscurus",12.5066210776286,0,1.53332510133031,6.41044486734441,11.5163114905779,0,0,0,0,0,0,0,0
"Osmia sp1 M_PL_025",-109.710535380317,-500.026872676761,-100.879716072915,-70.2921010855989,-63.1395907913247,0,0,0,0,0,0,0,0
"Nomada pygmaea",9.50458744930881,0,7.28295357682731,0,2.73499605169817,0,0,0,0,0,0,0,0
"Andrena nasonii",2.9477182884241,0,9.63715760952889,0,4.52384937882865,0,0,0,0,0,0,0,0
"Evylaeus macoupinensis",12.7331965569749,0,0,8.15822415252069,0,62.4215991591351,0,8.4221113200461,0,0,6.05144557501574,0,0
"Osmia lignaria",26.6300193841382,92.4734756624614,0,0,40.8689653696635,0,0,0,0,0,0,0,0
"Augochlora pura",-0.752224724844845,-1.95909080412858,-2.76670663951527,0,-5.19496084621328,0,0,0,0,0,0,0,0
"Toxomerous geminatus",-21.6298031511501,0,-19.8887772540442,0,0,0,-14.6482444071995,0,0,0,0,0,0
"Ceratina calcarata",-8.92978116095298,0,-7.29867138293544,-15.256950552945,0,0,0,0,0,0,0,0,0
"Dialictus cressonii",-33.6886132703176,0,0,0,0,0,-18.2518181039293,-17.826113021097,0,0,0,0,0
"Euchlo creusa lotta",7.55280492954584,0,0,0,6.954752499203,0,0,0,0,0,0,0,0
"Xylocopa virginica virginica",-0.695405168151521,-3.62222039524197,0,0,-1.60085255619441,0,-1.88378318451252,0,0,0,0,-7.86810366779326,-4.20167925717989
"Osmia atriventris",0,0,2.88011028741281,0,0,0,0,0,0,11.1708665065624,0,0,0
"Andrena violae",0,0,0,0,0,0,0,0,0,6.29914724155912,0,0,0
"Bombus pennsylvanicus",0,0,0,0,-1.66874035212457,0,0,0,-4.16757508197265,0,0,0,0
"Ephemoropsis laboriosa",0,0,0,0,0,0,0,-6.45679885902003,-3.50769501305202,0,0,0,0
"Nomada luteola",0,0,10.0004882823645,0,0,0,0,0,0,0,0,0,0
"Andrena arabis",0,0,0,0,6.4057542924504,0,0,0,0,0,0,0,0
"Andrena ziziaeformis",-0.451199605086519,0,0,0,0,0,0,0,0,0,-0.857729586261361,0,0
"Augochorella striata",-0.263902468910721,-0.68730644307984,0,0,0,0,0,0,0,0,0,0,0
"Lycaenopsis argiolus",-0.976153476160545,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp1 M_PL_025",0,0,0,0,6.40575429245038,0,0,0,0,0,0,0,0
"Andrena ceanothi",-0.246510155895876,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena dunningi",0,0,0,0,-1.78587551404664,0,0,0,0,0,0,0,0
"Andrena imatrix",-0.246510155895875,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena personata",0,0,-0.43561215908277,0,0,0,0,0,0,0,0,0,0
"Lassioglossum fuscipenne",0,0,0,0,-1.78587551404661,0,0,0,0,0,0,0,0
"Nomada bishopii",0,0,-0.435612159082771,0,0,0,0,0,0,0,0,0,0
"Nomada sayi",0,0,-0.435612159082767,0,0,0,0,0,0,0,0,0,0
"Osmia simillima",0,0,0,0,0,0,0,0,0,-4.77464856285727,0,0,0
