"","Salix.fragilis","Vaccinium.myrtilloides","Ledum.groenlandicum","Nemopanthus.mucronata","Gaylussacia.baccata","Spiraea.alba","Chamaedaphne.calyculata","Aronia.melanocarpa","Kalmia.polifolia","Kalmia.angustifolia","Calopogon.pulchellus","Smilacina.trifolia","Andromeda.glaucophylla"
"Dilophus caurinus",0,0,0,29.9103663403453,0,0,0,0,0,0,0,0,0
"Andrena vicina",4.43445592979456,15.1628979003398,14.446950437408,7.38922657702062,63.8682824695076,0,38.7687290576714,0.538064286262416,8.40025571391578,0,0,0,0
"Bombus terricola",0.733277298359357,18.3870278294284,17.5188464295497,0,9.34726610231869,49698.9126576142,0,0,0,0,0,0,0
"Colletes inaequalis",17.533663027099,20.3203730868067,3.36015703271137,0,0,0,10.4408062100968,0.917738569905802,0,0,0,0,0
"Andrena regularis",0,22.0235456791405,41.3950355959828,1.87820097262245,15.6743069866913,0,8.29833614649056,3.82944005671169,51.2444487802365,0,0,0,0
"Pyrobombus ternarius",847.497727379818,36430.4924525447,12424.7281644036,1941.7793618006,13889.908296412,16753439.7386061,2144.81012700688,565.581317880009,26489.5542326803,-22545.3503227832,0,0,4811.40255576795
"Andrena bradleyi",1.8987223156293,24.4855130890556,0,0,8.29833614649056,0,48.0520327001488,0,15.8258226550175,0,0,0,0
"Cyphon variabilis",3.70509525980612,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena mandibularis",0,8.40025571391578,45.8389164594852,50.1470475163687,0,0,7.91291132750877,0,423.491009673091,-83.1772266017619,0,0,0
"Pyrobombus sandersoni",-2.66114370576241,-50.0464048376781,-13.004552925758,0,-101.766760309883,-15030.2335485222,-6.73470592916632,-3.55185179983065,-27.7257422005873,47.1949482713637,0,0,0
"Sercomyia transversa",0,-10.2800559981753,-12.4659334230758,0,-240.395528480297,0,0,0,-159.464423737306,67.8603585700002,0,0,0
"Pyrobombus impatiens",0,-103.774225681967,-18.5058872392196,0,-18.6193666344857,-6416.54831540945,-5.75021882994215,0,-23.6727611498954,0,0,0,-25.7986636917068
"Melanostoma sp1 M_PL_033",0,0,0,58.5540429091983,0,0,4.31176018859966,1.13700088373507,0,0,0,-116.09398661268,0
"Apis mellifera",-0.503288357296565,-54.0858167213971,0,-2.30625974244062,-2.74951735509421,0,0,0,-10.4872526927018,0,0,0,0
"Pyrobombus perplexus",-5.06681695779021,-190.576684873418,0,0,0,-28617.5609600839,0,-6.762724948664,-52.7898062945863,0,0,0,0
"Adela purpurea",2.58388077607956,0,0,0,0,0,0,0,0,0,0,0,0
"Helophilus latifrons",0,0,686.07306361805,0,328.704815068303,0,0,20.0767310912908,0,0,0,0,0
"Syritta pipiens",0,0,0,0,0,-20496.7990639664,0,-67.8114743696608,0,193.079908258819,0,54.9517546784606,0
"Eristalis dimidiata",0,0,28.301494832987,0,66.4417636851309,39251.9216499517,0,4.63788563594545,0,0,0,0,0
"Andrena carolina",-1.17294060303096,-37.8149720101128,-15.285225539537,0,-32.0394908581994,0,0,0,0,0,0,0,0
"Macrodactlyus subspinosus",0,0,0,0,0,13857.4827665616,0,0,0,0,0,0,0
"Shaerophoria sp1 M_PL_033",0,0,-91.2426689561321,0,0,0,-35.4390812463861,-74.7616099845968,0,0,0,212.043550343072,0
"Hybomitra typhus",0,0,0,0,-33.534980162838,0,0,0,0,1415.23646897553,0,0,0
"Syrphus torvus",0,0,0,2.92476072097116,0,0,0,11.0746208980799,0,0,0,0,0
"Toxomerus marginatus",0,0,0,0,0,0,0,0,0,0,-128.954861420463,0,0
"Spilogona fatima",-4.04411440686214,0,0,-74.12671574975,0,0,-143.285346451614,0,0,0,0,61.2373452962543,0
"Dialictus pilosus",0,0,0,4.03165721601162,0,0,0,8.22009458144876,73.332603811441,0,0,0,0
"Hybomitra minuscula",0,0,0,0,0,12790.3254848736,0,0,0,0,0,0,0
"Andrena alleghaniensis",0,0,14.6460565598118,61.8012780278998,0,0,0,9.00041708170082,0,0,0,0,0
"Andrena carlini",-0.406608252229278,-2.18480510115611,-1.32468319911111,-3.72646904886756,0,0,-12.3483162575856,0,0,0,0,0,0
"Helophilus fasciatus",0,0,-6.45857440888802,0,-8.12272354877541,0,-2.50854064037141,-1.32299237445019,0,8.78957797149115,0,0,0
"Pyrophaena rosarum",0,0,-1.49253465064988,-4.19865231456192,0,-2587.53351690735,0,0,0,8.12485781319542,0,41.6229402258301,0
"Helophilus laetus",0,0,72.7613971286134,0,0,94607.1270733893,0,22.3569709337926,0,0,0,0,0
"Thymelicus lineola",0,0,0,0,0,71229.5345819508,0,0,0,0,-750.390475599424,0,0
