"","Cordia.martinicensis","Cordia.sp1.M_PL_041","Cornutia.pyramidata","Unidentified.sp21.M_PL_041","Croton.flavens","Vernonia.sp1.M_PL_041","Chamaecrista.glandulosa","Wedelia.calycina","Mimosa.casta","Lantana.camara","Gonzalagunia.hirsuta","Guettarda.scabra","Ipomoea.tiliacea","Calliandra.tergemina","Daphnopsis.americana","Lantana.involucrata","Tetrazygia.angustifolia","Wedelia.trilobata","Sida.rhombifolia","Byrsonima.spicata","Miconia.striata","Spermacoce.assurgens","Ludwigia.octovalvis","Odontonema.nitidum","Palicourea.crocea.","Centrosema.virginianum","Coccoloba.sp1.M_PL_041","Desmodium.adscendens","Oxalis.barrelieri","Oxalis.frutescens","Stigmaphyllon.diversifolium"
"Orthorhyncus cristatus",27.247977842789,30.7511663306474,32.7179471505059,0,0,0,1.39643899925752,0.663086216062602,0,24.1353816873369,3.0485913577471,46.4503596422724,74.2546548830442,-15.4479376931303,0,30.3055851462244,0,0,0,0,0,0,0,-5.89243498361969,5.5702661981793,0,0,0,0,7.50315084945253,0
"Apis mellifera",15.3755831653237,7.30393313566412,0,6.0114131950022,0,19.8424792139639,0,8.81968802941303,15.4459463790996,0,1.01373034354991,0,14.1094104450159,-4.10945026003546,-22.9586705139379,0,0,2.86658095308994,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp1 M_PL_041",12.1523803701879,17.4072137130983,7.40821719968529,0,0,2.81487507076209,33.2000645800709,0,1.51696957608434,0,0.862853147058033,0,0,0,0,0,-30.263193040322,0,0,-4.91425681993402,-37.4098771284094,0,0,0,0,0,0,0,0,0,0
"Unidentified sp2 M_PL_041",42.182288092408,0,0,13.7433900071494,1.0505738111545,13.6092590061676,7.64354784481818,8.46875959562413,0.814910129083111,33.0268534426128,0,0,0,0,0,55.293545500028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp8 M_PL_041",0,0,0,0,18.4708595466762,0,0,0.924814145927376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.00506073333036,0,0,0,0,0,0,0,0
"Xylocopa sp1 M_PL_041",67.1313258125947,0,39.4082509906692,0,0,7.48690948887693,4.20497184028311,0,0,0,0,0,0,-9.3033985766079,0,0,0,0,0,0,0,0,0,0,0,0,-9.56379811630177,0,0,0,0
"Unidentified sp4 M_PL_041",27.9287799851504,0,0,43.313437787303,0,12.6149155208493,2.36169386097738,0,0.755369739881432,0,0,0,0,0,0,0,0,0,0,0,-18.6281185865469,0,0,0,0,0,0,0,0,0,0
"Unidentified sp3 M_PL_041",0,0,0,16.9375191912483,0,29.9503830926982,0,3.19500037136219,0,0,0,0,0,0,0,0,0,3.46147058683498,0,0,-8.84539079221244,0,0,0,0,0,0,1.49109171801109,0,0,0
"Wasmannia auropunctata",0,0,0,0,0,0,0,0,0,0,6.18398027625249,0,0,0,0,0,0,0,-1.61459478678462,0,0,-15.291909898175,-2.33881950008219,0,0,0,0,0,0,0,-0.85664186537147
"Appias drusilla",36.2030725310054,8.02559802166899,0,0,0,9.08458948114609,0,9.69111703049001,0,0,2.78472984643507,0,0,0,0,73.8202074921463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp6 M_PL_041",0,0,0,0,0,4.58997522221626,18.045498760181,1.8361583841184,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.3960938811004,0,0,0,0,0,0,0,0,0
"Ascia monuste",42.5794963387497,0,0,0,0,0,0,0,0,56.5733208966691,0,0,0,-14.4839828535008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp7 M_PL_041",95.4702705639139,0,0,19.3542973234329,0,159.711714152496,0,8.51873888305157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp5 M_PL_041",-27.8062878476345,-4.10945026003546,0,-11.274109925221,0,-9.3033985766079,0,-2.48113369828977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coereba flaveola ",-1.72609030003619,-2.29586705139379,0,0,0,0,0,0,0,0,0,-64.7352748462623,-22.1752649932753,6.45867868456273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Electrostrymon angerona",80.8148937232651,0,0,55.293545500028,0,0,17.0845305884516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polygonus sp1 M_PL_041",-29.7012395173198,-3.95055213460964,0,0,-2.07123340764794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Janonia evarete",12.9310037557964,0,0,0,0,6.48966247823087,0,0,0,0,0,0,0,0,0,0,0,22.5009901048905,0,0,0,0,0,0,0,0,0,0,0,0,0
