"","Saxifraga.tricuspidata","Dryas.integrifolia","Campanula.gieseckiana","Ledum.palustre","Polygonum.viviparum","Silene.acaulis","Rhododendron.lapponicum","Salix.sp1.M_PL_045","Cerastium.alpinum","Epilobium.latifolium","Vaccinium.uliginosum","Viscaria.alpina","Cassiope.tetragona","Pedicularis.flammea","Potentilla.rubricaulis","Pyrola.grandiflora","Saxifraga.caespitosa"
"Unidentified sp1 M_PL_045",78.5237602330488,9.75518729436283,0,-31.3263902346504,-7.76542153129699,10.7665602653747,0,3.18192572355366,0,0,10.3438735504878,0,0,-3.33076532385729,0,0,0
"Nysius groenlandicus",0,3.02977337259653,0,0,-36.1768564855341,0,0,0,0,256.299340209607,0,2.86560284238447,0,0,-4.84365875301203,0,0
"Acarina sp1 M_PL_045",0,0,1.64114892538143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp2 M_PL_045",-6.26527804693007,-5.83762423796973,0,22.4953173408656,0,-38.657053689394,6941.17326340538,-11.4246212810101,0,0,-37.1394080692115,0,0,0,0,0,7.85759880609956
"Thysanoptera sp1 M_PL_045",-23.296264593891,-21.7061138913205,0,27.881543376628,0,0,2867.71717117552,0,19.3769079071261,0,0,0,0,0,0,0,0
"Unidentified sp3 M_PL_045",10.7665602653747,40.1266361645416,3.30184502022507,0,0,132.860343981899,0,0,0,0,0,0,0,0,0,0,0
"Eupeodes curtus",0,-1200.84136232783,-197.623945153227,0,2867.71717117552,0,0,0,1607.9750114689,0,0,0,0,0,0,-6027.58331765114,0
"Dolichopus sp1 M_PL_045",0,0,0.9758200712283,-34.2738638430304,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spilogona sp1 M_PL_045",-8.70839279504658,-4.05698873005598,0,0,0,0,0,-7.93979843388066,0,0,0,0,0,0,0,0,0
"Platycheirus hyperboreus",0,256.299340209607,0,0,0,848.613832541307,0,0,0,0,0,0,0,0,0,0,0
"Platycheirus lundbecki",0,19.2756479442788,3.17221717342306,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Delia sp1 M_PL_045",0,0,0.943191593361716,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pegomya sp1 M_PL_045",0,-3.6525817666727,0,0,0,-24.187587913037,0,0,0,0,0,0,0,0,0,0,0
"Sphaerophoria scripta",0,-3.10341476306318,0,0,0,0,0,0,8.31119504337484,0,0,0,0,0,0,0,0
"Unidentified sp4 M_PL_045",0,0,0,18.6650658381126,23.1341854354534,0,0,0,0,0,0,0,0,0,0,0,0
"Coccinella transversoguttata",0,0,0,0,0,0,0,29.7627738268477,0,0,0,0,0,0,0,0,0
"Eupeodes luniger",0,-2.03907811335476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasiomma sp1 M_PL_045",0,-2.03907811335476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Platycheirus groenlandicus",0,0,2.44227548612683,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Protophormia terranovae",0,0,2.44227548612682,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sympsitis zetterstedtii",0,0,0,0,79.4123884542087,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp5 M_PL_045",0,0,0,10.9236568487868,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp6 M_PL_045",0,0,0,0,0,0,0,0,0,0,0,0,-1782526946380234,0,0,0,0
"Unidentified sp7 M_PL_045",-1.2224354245045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp8 M_PL_045",0,0,2.44227548612685,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp9 M_PL_045",0,-2.03907811335476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
