"","Aristotelia.chilensis","Alstroemeria.aurea","Schinus.patagonicus","Berberis.darwinii","Vicia.nigricans","Rosa.eglanteria","Digitalis.purpurea","Cynanchum.diemii","Ribes.magellanicum","Berberis.buxifolia","Mutisia.decurrens","Calceolaria.crenatiflora","Tristerix.corymbosus","Gavilea.odoratissima"
"Policana albopilosa",34.5466697426388,0,52.306062421716,0,0,0,0,0,0,0,0,0,0,0
"Bombus dahlbomii",0,68.6050519757377,2.31447476304624,27.0574697519258,79.4901548791645,2.98698311881448,11.0108341965982,0,0,0.773955252738487,3.39809652565866,0.403096440511885,0.49284794108135,0
"Ruizantheda mutabilis",13.0386126616451,2.45912943573663,42.676484079509,1.12961055342028,0,1.52991199787941,1.64063207702699,0,0,0,0,0,0,0
"Trichophthalma amoena",0,0,0.376536851140094,9.56794847501435,0,0,0,0,13.2236191743882,25.182618401587,0,0,0,0
"Bombus ruderatus",0,29.3215283456193,0,0,2.44114433338943,0,3.12372358950568,0,0,0,0,0,0,0
"Colletes seminitidus",0,0,0,8.31507204295235,0,0,0,9.88914665251393,1.15133714586891,3.2742348517721,0,0,0,0
"Syrphus octomaculatus",0,4.6712629924962,10.0488714717903,0.723769131276434,0,5.99914263779216,0,0,0,0,0,0,0,0
"Manuelia gayi",0,29.5118360347559,0,0.253529570257517,0,0,0,0,0,0,2.66453036131236,0,0,0
"Allograpta hortensis",0,1.5240407128771,11.5083194441296,1.70017960813563,0,7.59882516273481,0,0,1.20845579696367,0.715973325276921,0,0.372897913541396,0,0
"Trichophthalma jaffueli",0,26.7014562194778,0,0,0,0.409279356471513,0,0,0,0,0,0,0,0
"Anthaxia sp1 M_PL_051",0,7.15388742243928,0,0,0,0,0,0,0,0,3.53362150947324,0,0,0
"Caenohalictus sp1 M_PL_051",0,0,0,4.19704836610394,0,0,0,0,0,0,0,0,0,0
"Phthiria sp1 M_PL_051",0,19.2210697021727,0,0,0,0.521251034734542,0,0,0,0,3.74522158946876,0,0,0
"Platycheirus sp1 M_PL_051",2.40122670291516,1.52736009436114,15.0202219622712,0.662621019876195,0,8.07691341726212,0,0,0,0,0,0,0,0
"Manuelia postica",0,2.78069885499233,3.72895758026755,1.09669292554108,0,0,0,0,0,0,0,0,4.23493420948359,0
"Heterosarus sp1 M_PL_051",0,5.48310343052068,0,0,0,0,0,0,0,0,3.03031874112508,0,0,0
"Sapromyza fulvicornis",0,3.32690110439742,0,0,0,3.51863221609849,0,0,0,0,2.75799213737463,0,0,0
"Camponotus sp1 M_PL_051",0,0,5.44968415182509,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp1 M_PL_051",0,0,0,0,0,0,0,10.2503868296464,1.20595633193033,0,0,0,0,0
"Unidentified sp2 M_PL_051",0,1.05383307553826,0,0,0,1.67184906927855,0,10.4669254060638,7.79906971324483,0,0,0,0,0
"Unidentified sp3 M_PL_051",0,16.7464338535097,1.87143426637696,0,0,11.2709799378618,0,0,0,0,0,0,0,0
"Megachile sp1 M_PL_051",0,5.11907085258982,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp4 M_PL_051",1.11559655657512,0,39.2530021524643,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp5 M_PL_051",0,0,0,0,7.78432327047061,0,0,0,0,0,0,0,0,0
"Unidentified sp6 M_PL_051",0,0,0,0,0,0,0,6.59973935762381,0,0,0,0,0,0
"Chalepogenus caeruleus",0,0,0,0,0,0,0,0,0,0,0,1.06972315274513,0,0
"Vespula germanica",0,58.2537155577416,0,0,0,15.4027271804066,10.3233912803878,0,0,0,33.2008701347523,0,0,0
"Unidentified sp7 M_PL_051",0,0,0,0,0,0,0,5.96763748439441,0,0,0,0,0,0
"Ocyptamus melanorrhinus",0,-19.9679851898665,0,0,0,-2.63984387328097,0,0,0,0,-7.58697794975027,0,0,0
"Phthiria sp2 M_PL_051",0,5.3608553708099,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp8 M_PL_051",0,0,34.7385246683215,0,0,0,0,7.7967076386395,0,0,0,0,0,0
"Unidentified sp9 M_PL_051",0,0,3.84765869542242,0,0,0,0,0,0,0,0,0,0,0
"Ruizantheda nigrocaerulea",0,13.8961779481915,0,0,0,8.81821332371707,0,0,0,0,0,0,0,0
"Svastrides melanura",0,7.12009218266395,0,0,0,0,0,0,0,0,0,0,0,0
"Chilicola sp1 M_PL_051",0,9.53261438796719,0,0,0,0,0,0,0,0,0,0,0,0
"Evylaeus sp1 M_PL_051",0,-6.57631487058066,0,0,0,0,0,0,0,0,-1.66581172943547,0,0,0
"Unidentified sp10 M_PL_051",0,21.0560597837059,0,0,0,0,0,0,0,0,0,0,0,22.7745474302093
"Corynura prothysteres",-0.341494733824828,-1.95494613407711,0,0,0,0,-1.84770349779368,0,0,0,0,0,0,0
"Megachile sp2 M_PL_051",0,21.0560597837067,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp11 M_PL_051",0,-5.88971394693016,0,0,0,0,-1.66998643150101,0,0,0,0,0,0,0
"Sephanoides galeritus",0,-2.56125801281985,0,0,0,0,0,0,0,0,-11.6780183170891,0,-10.7270111919563,0
"Unidentified sp12 M_PL_051",0,-20.2810661110043,0,0,0,0,0,0,0,0,0,0,0,0
"Ruizantheda proxima",0,-4.4591831338067,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp13 M_PL_051",0,0,-1.80876146934502,0,0,0,0,-1.82681130664731,-1.36118565679586,0,0,0,0,0
"Unidentified sp14 M_PL_051",0,-4.45918313380664,0,0,0,0,0,0,0,0,0,0,0,0
"Platycherius fenestratus",0,0,0,0,0,3.28403079053139,0,0,0,0,0,0,0,0
"Scaeva melanostoma",0,0,-11.7114007285722,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp15 M_PL_051",0,0,0,0,0,3.28403079053145,0,0,0,0,0,0,0,0
"Unidentified sp16 M_PL_051",0,-1.72845644911271,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp17 M_PL_051",0,0,0,1.41409362215395,0,0,0,0,0,0,0,0,0,0
"Unidentified sp18 M_PL_051",0,0,-11.7114007285728,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp19 M_PL_051",0,0,-11.7114007285724,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp20 M_PL_051",-6.69749140725479,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp21 M_PL_051",0,0,-11.7114007285724,0,0,0,0,0,0,0,0,0,0,0
"Chilicola sp2 M_PL_051",0,-0.685487521980792,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp22 M_PL_051",0,-0.278758652880075,0,0,0,-0.294823664954628,0,0,0,0,0,0,0,0
"Unidentified sp23 M_PL_051",0,0,-0.43690380735321,0,0,0,0,0,0,0,-0.540176233872811,0,0,0
"Unidentified sp24 M_PL_051",0,-0.685487521980801,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp25 M_PL_051",0,0,0,0,0,-9.80098924818966,0,0,0,0,0,0,0,0
"Unidentified sp26 M_PL_051",0,-0.278758652880075,0,0,0,-0.294823664954628,0,0,0,0,0,0,0,0
