"","Vitex.cannabifolia","Stenactis.annuus","Photinia.glabra","Deutzia.scabra","Persicaria.thunbergii","Rhododendron.oomurasalei","Besella.rubra","Lythrum.anceps","Swida.macrophylla","Rosa.borboniana","Deutzia.crenata","Cayratia.japonica","Syringa.vulgaris","Baccharis.trimera","Itea.parviflora","Tilia.miqueliana","Lespedeza.thunbergii","Pyracantha.angustifolia","Taraxacum.japonicum","Prunus.sp1.M_PL_054","Ligustrum.obtusifolium","Rhus.sylvestris","Swida.stlonifera","Cinnamomum.camphora","Ligustrum.japonicum","Securinega.suffruticosa","Citrus.tachibana","Trifolium.repens","Justicia.procumbens","Veronicastrum.sibiricum","Spiraea.blumei","Pieris.japonica","Aesculus.camea","Tilia.japonica","Spiraea.tossensis","Stewartia.monadelpha","Edgeworthia.chrysantha","Lonicera.morrowii","Oxalis.corymbosa","Rhododendron.mucronata","Rhus.javanica","Viburnum.erosum","Abelia.grandiflora","Abelia.sp1.M_PL_054","Iris.pseudacorus","Pyracantha.crenulata","Tradescantia.ohiensis","Indigofera.tinctoria","Spiranthes.sinensis","Weigela.hortensis","Aster.ageratoides","Astragalus.sinicus","Cirsium.nipponica","Elaeagnus.multiflora","Enkianthus.perulatus","Mahonia.japonica","Malus.halliana","Spiraea.thunbergii","Hibiscus.syriacus","Pollia.japonica","Berberis.thunbergii","Campsis.grandiflora","Liriope.platyphylla","Viburnum.dilatatum","Wisteria.floribunda","Camellia.sasanqua","Euonymus.fo.rtunei","Fatsia.japonica","Hydrangea.macrophylla","Lyonia.ovalifolia","Nandina.domestica","Philadelphus.coronarius","Spiraea.cantoniensis","Buddleia.davidii","Cercis.siliquastrum","Cladrastis.sikokiana","Coreopsis.basalis","Deutzia.maximowicziana","Forsythia.suspensa","Persicaria.yokusaiana","Stellaria.media","Fraxinus.griffithii","Idesia.polycarpa","Ilex.serrata","Ixeris.debilis","Ixeris.dentata","Kerria.japonica","Prunus.tomentosa","Ranunculus.silerifolius","Rhododendron.macrosepalum","Ulmus.davidiana","Vaccinium.oldhami","Viburnum.suspensum","Aucuba.japonica","Callicarpa.japonica","Calystegia.japonica","Camellia.japonica","Cardamine.regeliana","Clerodendron.trichotomum","Desmodium.padocarpum","Deutzia.gracilis","Hypericum.patulum","Iris.japonica","Oxalis.corniculata","Paederia.scandens","Phlox.subulata","Phytolacca.americana","Polygonum.aubertii","Rorippa.indica","Serissa.japonica","Torilis.japonica","Veronica.persica","Viola.mandshurica"
"Anthrenus verbasci ",0.283746962742978,10.7308712574034,60.851097967515,8.44036272305313,0,0,36.2173924480506,0,4.9651141759452,1.99149415783702,0,0,32.7352385601372,0,2.10236041485469,0,0,2.16170516143103,0,0,0,3.05612508813395,6.07224863431981,1.08890360068967,0,0,1.91135735555822,0,0,0,6.51805719791832,0,0,0,26.3159350512912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.9128817322867,0,0,0,0,0,0,0,0,0,0,-8.69465634016696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Xylocopa appendiculata circumvolan ",19.315568263326,0,0,0,0,22.3062696011196,0,0,0,0,4.66354418570022,0,0,0,0,14.6261832245592,0,0,0,0,16.8129730914986,0,0,0,5.7514293969122,0,4.81897192510566,0,0,0,0,1.10031952389914,9.5561296341984,12.9071062613888,0,91.4848721801624,0,0.804173126447648,0,0,0,23.5232047564643,0,0,4.45540913522061,0,0,0,0,0,0,0,-9.77864652509204,-4.52331176320358,0,0,0,0,0,1.52339277813471,0,0,0,0,3.23078627665111,0,0,0,0,0,-47.6630005597564,0,0,-11.7752425084996,155.424059575887,2.8694930949525,0,0,0,0,0,1.43474654747624,0,0,0,0,0,0,0,-19.5109098135612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apis cerana japonica ",3.92587728822678,0,0,0,8.43535748824494,14.8376797629435,0,5.36389844105898,5.20428183841534,0,2.13269055257877,17.8214082095058,0,1.62410348066542,12.1199667427825,10.4046693906061,0,0,0,0,0,2.818936975278,0,0,10.5207701698031,56.0796354824456,0,0,0.757861989211388,0,0,0,0,3.93504203222369,0,0,0,0,0,1.35286305429973,23.0898232921942,0,0,0,0,0,2.52126264817324,0,0,0,0,0,0,0,0,83.4253745211049,0,0,0,0,0,0,0,0,0,-21.7103985691557,0,0,1.25517831125645,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.22108363557772,0,0,0,0,0,0,0,10.483129020682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chalicodoma sp1 M_PL_054",21.7815812207823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10143375488155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthidium septemspinosum ",13.5870305459221,0,0,0,0,0,0,21.4198430488731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.718711944755288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum occidens",8.84737515382597,10.1392134550544,0,0,0,0,0,0,3.83838334074977,0,0,2.73834597900772,0,11.9784668420995,8.93900059227056,3.65423546508664,0,0,1.52544316275504,0,0,0,0,0,12.9325397193598,0,0,0,1.39739013196018,0,0,0,0,9.67421330524806,0,0,0,0,0,0,0,0,0,6.46602545493427,2.50458414903666,0,0,0,0,0,0,0,-10.9940265158455,0,0,0,0,0,2.02315747343307,3.4254680448638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21367455033609,0,0,-49.696241340505,0,0,0,2.96461484920337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oxycetonia jucunda ",4.62349690826178,15.5425334998605,0,0,0,2.18428778694498,0,3.1585256030338,6.12907108986702,16.2251376941104,2.51166489734599,2.62352907732943,8.08185258864233,0,2.85473154912597,0,0,14.0895071211785,0,0,0,0,0,0,0,0,2.59537427836472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611042418905662,0,0,0,0,-14.8094163185691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apis mellifera",5.81522209956692,0,0,0,1.07099215244365,9.89026875219327,0,9.53435631250742,0,0,0,3.95970528075768,0,0,0,15.8523016220312,0,0,0,0,2.73336163492744,0,2.07411761703726,0,9.35036080410003,6.64545550766256,0,0,0,0,0,23.2549145433462,0,0,0,0,0,0,0,0,0,0,0,0,14.4867232366834,0,0,0,0,0,0,-116.290516063021,0,-29.4150160571146,0,0,0,0,0,0,2.47664904476918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mordellistena sp1 M_PL_054",0,0,1.04085636768307,0,0,0,0,0,0,0,0,0,35.5049922039205,0,8.36089005454383,0,0,0,0,0,0,8.75082430466269,0,0,0,0,0,0,0,0,4.14747227666307,0,0,0,3.48853346127412,0,14.7979547234213,0,0,0,0,74.2094687279452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.6246930607925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tetralonia nipponens ",0,0,0,0,0,45.1605851039298,0,0,0,1.55304608270193,0,0,0,0,0,0,0,0,2.51803667062233,0,0,0,0,0,0,0,2.23582834175917,0,0,0,0,0,0,0,0,0,0,1.49242875512566,46.3774862327549,6.86271798935508,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.39461096346725,20.7637800996305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.71218625395871,0,0,-2.11565874293287
