"","Persicaria.thunbergii","Eupatorium.lindleyanum","Persicaria.sieboldi","Eusteratis.yatabeana","Senecio.pierotii","Prenanthes.tanakae","Galium.trifidum","Iris.taevigata","Sagittaria.trifolia","Mosta.dianthera","Monochoria.korsakowii","Kalimeris.pinnatifida","Cardamine.tyrata","Lythrum.anceps","Prunella.vulgaris","Hydrocharis.dubia","Leesia.japonica","Potentilla.egedei","Ranunculus.japonicus","Taraxacum.japonicum","Oxalis.corniculata","Lycopus.ramosissimus","Oenanthe.javanica","Phragmites.communis","Isachne.globosa","Scirpus.triqueter","Justicia.procumbens","Alisma.canaliculatum","Cirsium.sieboldii","Limophila.sessiliflora","Adenophora.triphylla","Ampetopsis.brevipedunculata","Hosta.albomarginata","Kalimeris.yomena","Persicaria.nipponensis","Cirsium.japonicum","Eupatorium.chinense","Salvia.japonica","Ixeris.dentata","Rosa.multtlflora","Ixeris.debilis","Ludwigia.epilobioides","Persicaria.yokusaiana","Weigela.hortensis","Bidens.frondosa","Lactuca.indica","Lespedeza.bicolor","Lysimachia.fortunei","Murdannia.keisak","Persicaria.comspicua","Solanum.melongena","Typha.angustifolia","Aeschynomene.indica","Alium.grayi","Chelidonium.majus","Clerodendrum.trichotomum","Commelina.communis","Houttuynia.cordata","Hypericum.erectum","Lindernia.procumbens","Monochoria.vaginalis","Nymphaea.marliacea","Ptantago.asiatica","Stellaria.media"
"Stomorhina obsoleta ",1.41208707652342,17.6530385967798,21.2236477433501,1.53963943967713,0,39.6380776878443,0,0,0,0,0,7.21130557306656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79282006764115,0,0,0,0,0,0,0,-13.449781035137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhinotropidia rostrata",1.00874506267313,0,13.2662453685306,7.69904771613958,2.30623361690736,0,0,1.7116671419881,9.27827887383029,114.993282680006,4.82171439625859,0,-51.4515602503035,13.3805682299483,0,0,0,0,0,0,0,0,17.6905892141139,0,0,0,0,0.541032347084806,0,191.13591329489,0,0,0,-11.20193338651,0,0,0,0,0,0,0,-21.4777004701233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22295724694749,498.285176539331,0,0,0,0
"Sphaerophoria macrogaster ",1.76863731194584,0,0,0,0,0,126.133241869332,0,4.06691215008516,1209.70947703303,4.22696690389288,0,0,0,0,0,0,3.49745666701424,12.941502562043,-171.60307553041,0,39.4145591757989,0,0,0,5.73685749600823,0,1.89718895572704,0,2680.95573730289,0,0,0,0,8.16200856522158,0,0,0,0,0,6.82719083714795,0,0,0,0,0,0,0,-6.93038757516735,0,0,0,0,0,0,0,0,0,0,0,0,0,-131.122926159621,0
"Helina sp1 M_PL_055",0,0,0,0,0,0,47.0579514662865,0,0,0,0,0,-36.6473803460702,0,0,0,0,4.262463005511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42104321888042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eristalis kyokoae",9.68511115360179,0,16.1741196100322,1.40799429512564,1.05440435478321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hylaeus macilentus",0,0,0,2.6306939943608,0,0,0,15.5962923789771,3.96287849668451,0,4.11883896958125,0,-29.3008771000826,6.53145349574847,54.8485021822307,0,0,0,0,0,-58.9724039351529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3050957398864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51497304262987
"Hylaeus noomen",2.05520985414069,5.1385922982811,0,0,0,0,0,0,0,234.286477792174,49.1186292143159,0,0,7.78899211300881,0,0,0,0,0,0,-105.490054266268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2111051200506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.23881944911327,0,0,0
"Melanostoma mellinum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.60359820020011,0,0,0,0,0,0,0,12.4910586980593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parnara guttata guttata ",1.39158808463993,0,0,2.83227241749606,0,11.8886354900535,0,0,0,0,0,0,0,19.3378070425552,0,0,0,0,0,0,0,0,5.42324299139763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum sibiriacum",0,0,0,0,0,0,0,182.095477904973,52.8786667423095,2621.47389839338,54.9597252148766,0,-390.976235261544,0,0,0,0,45.4745120414863,336.535128307942,-1115.60583411396,0,0,268.858706590998,0,0,0,42.7744138628246,0,0,0,0,0,0,0,0,35.3023975636895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.2747618538079,0,0,0,0,0,0,0,0,0,0,0,0,0
