"","Astilbe.thunbergii","Reynoutria.japonica","Serratula.coronata.insularis","Scabiosa.japonica","Veronicastrum.sibiricum.japonicum","Rodgersia.podophylla","Geranium.eriostemon.","Filipendula.multifuga","Cirsium.effusum","Viburnum.furcatum","Iris.sanguinea","Lonicera.alpigena.","Angelica.pubescens","Cimicifuga.simplex","Prunus.nipponica","Elaeagnus.montana","Hosta.sieboldiana","Fragaria.nipponica","Ranunculus.japonicus","Oxalis.acetosella","Trollius.hondoensis","Libanotis.coreana","Solidago.virgaurea.asiatica","Veratrum.album.oxysepalum","Angelica.polymorpha","Ligularia.dentata","Rubus.pungens.","Anaphalis.margaritacea","Hydrangea.paniculata","Potentilla.freyniana","Pyrola.alpina","Weigela.decora","Philadelphus.satsumi","Taraxacum.hondoense","Eupatorium.chinense.sachalinense","Lychnis.gracillima","Acer.shirasawanum","Cacalia.adenostyloides","Chamaenerion.angustifolium","Patrinia.villosa","Cynanchum.ascyrifolium","Senecio.cannabifolius","Acer.ukurunduense","Aconitum.japonicum.montanum","Euonymus.sieboldianus","Malus.sieboldii","Prunus.maximowiczii","Aconitum.senanense","Enkianthus.campanulatus","Polygonatum.lasianthum","Sorbus.commixta","Aquilegia.buergeriana","Aster.ageratoides.ovatus","Polemonium.caeruleum.yezoense","Sedum.aizoon","Viburnum.opulus.","Agrostis.clavata","Arabis.lyrata.kamtschatica","Euonymus.macropterus","Pedicularis.resupinata.","Pyrola.incarnata","Senecio.nemorensis","Rhododendron.wadanum","Synurus.pungens","Aster.ageratoides.amplexifolius","Aster.glehni","Dianthus.superbus.longicalycinus","Acer.japonicum","Cacalia.hastata.farfaraefolia","Cypripedium.guttatum.","Ixeris.dentata","Campanula.punctata.","Clinopodium.chinense.grandiflorum","Meehania.urticifolia","Picris.hieracioides.japonica","Adenophora.triphylla","Patrinia.triloba.palmata","Poa.pratensis","Ribes.maximowiczianum","Rubus.idaeus.f.marmoratus","Thalictrum.filamentosum.tenerum","Veratrum.maackii","Viola.grypoceras","Achillea.alpina.","Arabis.hirsuta","Euphrasia.maximowiczii","Gymnadenia.conopsea","Menziesia.pentandra","Polygonatum.macranthum","Pseudostellaria.heterantha","Rhododendron.degronianum"
"Anaspis funagata ",59.5283181463403,0.66682165944615,0,0,0,26.8501116406744,0,0,0,0,0,0,0,2.34501307310766,0,0,0,0,0,0,0,0,0,1.94190147506147,0,0,0,0,0,0,4.32496328274228,0,25.5970319745637,0,0,12.1606857569935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus beaticola ",0,0,12.5879064828908,0,20.2706113511785,0,39.8042019173057,8.36135998835696,5.28468625024981,0,3.78987829822057,2.32559157140082,0,3.02085022919131,0,32.0097516810469,0,0,0,0,0,0,0,0,0,4.13898974105771,24.6025029779206,0,0,0,0,0,0,0,0,0,0,13.9546351554813,7.70706899255555,0,0,0,0,0,0,0,0,0,6.55231624746726,-9.59752715921312,0,0,0,0,0,0,0,0,0,2.20926397257239,0,0,0,0,0,0,0,0,6.11149325841656,0,0,6.3393906269851,5.56588112364258,0,0,0,-2.91716506586959,0,0,8.85143549075443,0,0,0,0,0,0,0,-4.57401987918349,0,0,0
"Eristalis tenax",0,4.19596882763027,12.810052211652,56.7606193968604,0,0,0,10.2107010238932,2.58141505121267,0,0,0,0,7.37798601451984,0,0,0,0,3.02248052488947,0,50.5223597136417,52.1130374961246,1.68373089595709,0,0,0,0,5.33077720213319,0,0,0,0,5.03340861100388,0,565.821036448728,2.12558325653758,0,0,0,0,0,-140.435997286451,0,0,0,9.40108235850026,0,0,0,0,0,0,2.86116262561867,0,0,0,0,-11.2464869780136,0,0,0,9.15038838203945,0,0,-4.42793356862602,0,10.8735578629856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus honshuensis",0,0,20.271649784593,1.42575456697601,2.61151437557435,0,2.84893138353621,3.07775787611949,39.4886944790274,0,61.0324565821793,0.599223744682439,0,0,0,17.6738471049248,0,0,0,0,0,0,0,0,0,2.66618283530421,6.33920596560743,0,0,0,0,0,10.620357086155,0,0,0,0,17.9781111102581,69.504489939828,0,0,0,0,0,0,0,0,0,8.44151554046507,-6.18236907413083,0,0,0,1.82083609188951,0,0,0,0,0,5.69250184304467,3.41513127865983,0,-12.859699689064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus consobrinus ",0,0,2.47540056123204,1.30575718778717,0,0,4.34858929875863,0,1.2470745944213,0,20.122456878554,0,0,0,0,0,37.491941696529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-148.339698798382,0,0,0,14.41932029939,0,-11.3240708367099,0,14.7827876997318,0,0,0,0,0,0,0,0,0,0,0,57.7302126952779,0,0,0,0,0,0,0,14.9596260225514,0,0.882673542817853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus hypocrita",3.0980898046932,0,12.996466707944,10.2833234864148,20.4053126534583,4.12049810814438,0,1.84987307692363,31.1003914223481,0,2.9346635516952,0,0,9.35668996748547,8.99217525276288,0,0,0,0,0,21.3573214215012,0,0,0,0,1.6024976764591,0,0,0,0,34.5135308808744,0,0,0,0,0,0,7.20377735035685,11.9358209858467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2643609312083,0,0,0,0,0,0,0,0,28.3943310585888,0,0,0,0,2.31712747683665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eusphalerum parallelum ",0,0,0,0,0,2.28311720264413,0,0,0,1.10159144410252,0,3.19297092973809,0,0,67.2631215557725,0,0,0,0,110.5546912029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.24217899941513,0,0,0,3.29976304270273,0,0,0,0,0,0,0,0,0,6.27474583428907,0,0,0,0,0,0,0,-56.3248090396508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.72947931620259,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum apristum",3.70898389413374,27.4730399617443,4.37601472452566,1.53887893805974,23.959129276402,0,0,18.270768931355,0,0,0,0.646768259584059,2.58572534363697,0,0,0,2.76159495632986,0,0,0,0,0,0,0,0,0,0,0,1.57341742399785,0,0,0,0,0,0,0,0,0,21.4340628858012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meligethes morosus ",0,0,0,0,0,47.4690184867418,0,4.40915856062774,0,1.5795544359228,0,0.572293773571987,0,0,0,0,0,140.34475158756,0,0,0,0,0,0,0,0,0,0,0,0,13.7104568631602,0,10.1430630669328,1.45902087716107,0,0,0,0,0,0,9.46295539875338,0,0,0,0,0,0,0,0,0,2.99908605557309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oedemeronia subrobusta ",0,0,1.56768085673107,11.5771758738705,0,0,5.50795722051259,0,0,0,8.49575376013887,0,0,0,0,0,0,24.351625096159,18.4944010392156,0,144.26705526758,5.79776298963313,0,0,0,0,0,2.60949986251612,0,8.60066122029609,0,0,0,14.1769009838035,0,0,0,0,0,0,0,-57.2880372654136,0,0,0,0,0,0,0,0,0,3.12066575526327,0,2.11217876800758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.3417477920601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus diversus",0,0,13.8843373352983,2.44129826328717,0,0,1.62606089433818,0,11.657914159024,0,79.4237729404067,0,0,6.66393632309116,0,0,2.19051570726253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.94188981626283,0,0,0,0,0,20.5224342006944,0,0,0,0,0,-158.481203720684,0,0,0,0,0,0,0,4.60641971767321,0,0,0,0,0,0,0,0,5.84767831196451,0,0,107.934820738779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.1655452268889,0,0
"Byturus affinis ",0,0,0,0,0,0,0,0,0,28.4992014021013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65390336275464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp22 M_PL_056",2.88697620205765,16.73553665756,0,2.39564635427669,2.19401888582242,5.75957157252956,0,12.9286267181848,0,0,0,0,8.05064432222966,39.2359303186071,0,0,0,0,0,0,29.8529493513227,0,0,0,31.9725469757175,0,0,1.88992861046628,0,0,0,0,0,0,1003.00699564054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meliscaeva cinctella",0,3.02085022919131,3.68899300725992,3.89183812136555,17.8214249436197,0,0,8.4012604329371,0,0,0,0,0,31.8702902597871,0,40.2031279362135,0,0,0,0,48.4974946795731,0,0,4.39862250491288,25.9704394463551,0,0,0,0,0,0,8.44046792845886,0,0,0,0,0,49.0742935633363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0519441035017,0,0,0,0,0,0,0,0,12.2303763636577,31.3132829264378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85924572074915,0,20.4426287530674,0,0,0,0,0
"Bombus ardens",0,0,0,0,3.42542879808713,0,4.98245344857574,0,0,0,6.40432498017158,0,0,0,58.870952239909,46.3642899403023,0,0,0,0,0,0,0,0,0,0,24.9447204365725,0,0,0,0,0,0,0,0,0,10.3232966346409,0,0,0,6.49814375236828,0,0,0,0,0,0,0,11.0724301203396,-32.4367581737299,0,0,0,0,0,0,0,0,0,0,8.95900795384036,0,-16.8676022087698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cheilosia sp3 M_PL_056",0,11.4320541718025,0,0,0,0,0,6.35871738708931,0,0,0,0,0,0,7.72738165671705,0,0,21.6856880279223,13.1757551166627,29.8193686471791,0,30.9782560194349,7.33980774559369,9.98764326775676,39.3128355384539,0,0,2.32382026677787,0,0,0,0,0,0,0,0,0,12.3810613987128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dolichovespula norvegicoides ",0.770833891761369,0,0,0,0,0,0,0,0,0,0,1.07533687680107,10.7477669709709,17.4602437219108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.54003096763881,0,0,0,0,0,0,0,0,0,17.8184673561424,4.10972542667453,0,0,0,0,0,0,0,0,7.57436019292099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum laeviventre ",0,0,49.7463478585244,20.9926917848316,0,12.6175667183666,0,22.6583256256901,0,0,0,13.2343809449808,0,0,0,0,0,77.2736624136575,0,0,0,0,13.0771462077631,0,0,0,0,0,0,0,0,0,0,11.2466935611936,0,0,0,0,0,11.239820758451,0,-363.577907799415,0,0,0,0,0,0,31.0730433628749,0,0,0,4.44439691274231,0,0,0,0,0,0,0,25.1420545997978,23.6896460151029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Platycheirus scutatus",0,0,0,0,0,0,0,0,3.04537272371531,0,0,0,0,34.816125138833,8.36494262283024,0,0,0,7.13142177127627,0,119.205484710705,0,23.8361737708891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.07226966124976,0,0,0,0,0,0,7.63788435280831,0,0,0,0,0,0,0,0,9.0322873581558,3.45946774417332,0,0,0,0,0,0,0,0,0,6.02439852333939,0,0,0,0,0,0,0,0,0,0
"Parnara guttata ",0,0,88.9262120184691,0,0,0,0,0,13.7845749427578,0,0,0,0,19.6989633836665,0,0,0,0,0,0,0,0,0,0,0,6.7475876962207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-249.97278506177,0,-117.119795183044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0320173786711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Melanostoma transversum ",10.7053238087448,0,0,0,0,0,11.8338284984163,0,0,0,0,0,0,0,0,0,0,130.798471878317,39.735161570235,0,0,0,66.4057074717777,0,0,0,0,14.0162553027159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.5962722811802,0,0,0,0,22.6900466887358,0,0,77.8445908425947,0,0,0,0,40.0986494146819,0,0,0,55.8334368269695,0,0,0,50.3264859429121,19.2756106945477,0,0,0,0,0,0,-2370.33772539974,0,0,0,0,0,0,0,0,0,0,0,-124.287432052577,0
"Pidonia grallatrix ",0,0,0,49.9805047927047,0,0,0,5.39461334514398,0,0,0,0,8.39805229209319,13.6430237281236,0,0,0,0,0,0,62.2823763393345,0,0,5.64888277292887,0,0,0,0,0,0,75.4864576659105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54552419304271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cheilosia sp8 M_PL_056",0,0,0,1.77631350184478,0,0,8.28196937428643,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1352358239259,0,0,0,0,11.6260669083733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.1611345506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pidonia insuturata ",0,0,0,0,0,29.0559734899589,0,1.73926749217179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Syrphus vitripennis ",0,7.38488485491235,0,0,8.71338604524772,0,0,61.6141181053989,0,0,0,0,0,25.9704394463551,0,0,0,0,0,0,118.558811853525,33.3522523994846,0,0,0,0,0,0,0,0,0,0,35.4350993031384,0,0,0,0,0,0,0,0,0,0,0,0,33.0917190194101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.789349738593,0,0,210.319741234366,0,0,0,0,0,0,0,0,47.8502301406271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cheilosia motodomariensis ",2.40974832808175,0,0,0,0,0,0,0,0,0,0,0,13.4396859119564,0,0,0,0,0,0,0,0,23.3660769996313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.63671026110157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp46 M_PL_056",0,0,0,6.33920596560743,0,0,0,0,0,0,0,0,5.32577486065035,0,0,0,0,0,21.266293197787,0,236.984888376005,11.1111940822321,0,0,0,0,0,0,0,0,0,0,0,0,442.348813223883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04791093904087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pidonia testacea ",5.42185564644887,0,0,0,0,4.05626382060953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.43195150959122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chrysarthia viatica ",7.90528043348939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81618095170571,0,0,0,0,3.45007246783269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp23 M_PL_056",8.93495804891387,3.83667655977527,0,0,2.26343705100813,0,0,10.6701479815655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Empis flavofasalis ",0,0,0,0,26.2947816918253,0,4.78088049126661,7.74732203370115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2249678234682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.42294458303841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32.3703938899439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pidonia oyamae ",0,0,0,0,0,11.1510370393563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74738440783639,0,0,0,0,0,0,23.3504330733036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.810369527501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
