"","Daucus.carota.carota","Sonchus.tenerrinus","Carpobrotus.sp1.M_PL_058","Opuntia.stricta","Cistus.monspeliensis","Lavandula.stoechas","Cistus.salvifolius","Cistus.albidus","Urospermum.picrioides","Rosmarinus.officinalis","Aetheorrina.bulbosa","Galactites.tomentosa","Eryngium.campestre","Convolvulus.althaeoides","Scabiosa.stellata","Sedum.sediforme","Thymelaea.hirusta","Ruta.chalepensis","Helichrysum.stoechas","Psoralea.bituminosa","Dorychnium.pentaphylum","Alyssum.maritimum","Helianthemum.guttatum","Lathyrus.clymenum","Equium.sabulicola","Euphorbia.segatalis","Allium.ampeloprasum","Brassica.fruticulosa","Dianthus.caryophillus","Hypericum.perfolatum","Linum.sp1.M_PL_058","Vicea.lutea"
"Andrena sp1 M_PL_058",10.8777521181149,45.6054969867149,3.57402732589259,0.870722113600019,26.7756252556413,4.78965819865102,24.8509493552032,33.9425170758103,29.0466013111411,3.27492466433345,7.23236286518268,6.80830493413455,43.3583269505919,1.80820860724359,1.21901238127183,3.34515644141771,2.4000983914375,3.75691823838838,0,36.0742220147494,0,-51.03268763336,1.97986064458991,0,0,0,0,0,0,0,0,9.80689606362836
"Apis mellifera",0.894225431112058,6.61602876833626,5.14166498767279,23.6211682483848,2.31698848085653,26.2495052351579,2.40343243275237,7.44081721678474,0,43.0753837818557,0,11.1937822240499,0,0,11.0232247101335,0.916648932758365,11.8382676613143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mordellistena pumila",39.3143005848184,0,5.1375331452145,2.14565329776382,3.47268982304944,0,3.60225155134163,0,11.0118919455346,0,1.48517946482984,16.7771803494335,49.8608032940166,14.8527630135101,0,0.915912313591463,0,3.08596121223969,25.2544234262597,0,0,0,1.62627259023483,0,0,0,0,0,0,0,0,0
"Oedemera lurida",2.61216634080006,6.44213679501404,15.0195730843467,0,38.3535310334438,0,3.51039295282366,10.8678704527332,10.7310850816243,0,4.34192070101989,16.3493567363357,0,2.89480253499604,0,0,0,0,4.47462315063117,0,0,-40.849698684354,1.58480210467378,0,0,0,0,0,0,0,0,0
"Oxythyrea funesta ",0,2.31698848085653,23.1512654869963,6.76827018237244,25.5600040393738,2.06837904764751,26.513615927345,17.5893948750991,2.89466849032821,4.24275717225865,0,44.101754316389,0,0,0,0,3.10939508786242,0,3.62103660767863,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthidium sticticum",0,1.31247526175789,6.55710278258251,2.55595780259657,4.13675809529501,72.6422137930844,0,26.5697141884503,0,14.4200470815724,0,0,0,0,0,0,3.52267969009695,0,0,0,0,-74.9018510651255,0,158.685476885763,0,0,0,0,0,0,0,0
"Psilothrix sp1 M_PL_058",1.46182055030607,12.0171621637618,26.4165113765053,0,1.89382970909607,0,13.7514029430487,3.04093887853322,3.00266496324975,0,26.728082704208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp35 M_PL_058",65.6221996798999,1.86020430419619,1.85870944384578,7.24524696848879,0,0,6.08187775706644,0,0,0,0,0,0,7.5230189548425,0,0,0,0,17.4429901717051,150.086143219867,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus terrestris",0,1.83679136997006,25.6944145395806,32.1932552448729,0,0,0,4.64799443710574,0,0,0,41.9539703705067,0,0,2.50392277372637,2.29038236855432,4.92994256156309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oedemera flavipes",9.82477399300035,10.7688459454639,8.07014407490175,5.24290183237494,4.24275717225865,0,4.40104915339482,6.81263218932981,20.1806607756696,0,27.2177597809389,0,182.752239534456,10.8878137722231,0,3.35704632632968,0,1.88513583615203,0,0,0,-153.642228286664,0,0,0,0,0,0,-92.1422689229854,0,0,0
