"","Diplopterys.pubipetala","Byrsonima.gardnerana","Banisteriopsis.muricata","Heteropterys.sp1.M_PL_059","Heteropterys.sp2.M_PL_059","Dicella.bracteosa","Carolus.chasei","Stigmaphyllon.paralias","Banisteriopsis.stellaris","Banisteriopsis.schizoptera","Stigmaphyllon.auriculatum","Stigmaphyllon.ciliatum","Janusia.anisandra"
"Centris aenea",112.241181819422,78.3093029023636,36.9152919004653,85.3749941619481,70.9257083588929,57.4340775453353,43.2606662752471,78.4817626602374,66.0873997823306,28.714851862658,22.2356699671318,40.4123488459713,33.3562250557076
"Centris fuscata",115.599447141584,28.0134513300853,45.0642582749951,78.4912949962644,64.9457976156391,54.6311160674961,33.440283709272,131.251303158517,70.134599508999,29.1403661729674,15.6948828725961,30.5288625679439,44.718180615455
"Centris caxiensis",68.9831212281422,202.981744537798,11.4387841230982,67.0372574172466,57.4977529109054,41.7820595848404,35.1548297922678,0,62.7437724828998,17.7434638394673,7.15801951155222,0,0
"Centris tarsata",51.4037922964609,53.558765997451,17.7750303757851,46.8769384346211,43.339234972616,18.5712007561662,19.510008378029,0,35.7573230009283,20.5837346257486,0,0,23.1985838373082
"Centris flavifrons",39.8717495639182,28.1167782360389,29.6200545298604,52.7381052076411,0,63.2312801392818,0,0,0,0,21.2129406934749,28.8887649942389,0
"Centris trigonoides",26.4444673590033,0,76.5221990149324,42.2072744458323,39.0972037502429,0,0,0,0,0,0,0,0
"Centris obsoleta",0,0,74.2157517836764,0,0,0,0,0,0,0,0,0,0
"Epicharis sp1 M_PL_059",51.0754328423767,0,64.3998095754771,5.93837252707198,21.1009510507828,0,0,0,0,0,0,0,0
"Apis mellifera",82.3829230163299,6.54589595417324,11.3144507756049,0,30.6690011177855,0,0,0,0,0,0,0,0
"Centris sp1 M_PL_059",46.3467784449918,0,0,0,0,0,0,0,0,0,0,0,0
"Centris sp2 M_PL_059",0,0,38.7375173566355,0,0,0,0,0,0,0,0,0,0
"Xylocopa sp1 M_PL_059",0,0,28.0975294267756,15.6086048624705,0,0,0,0,0,0,0,0,0
"Xylocopa grisescens",0,0,16.9333669464151,0,0,0,0,0,0,0,0,0,0
