"","Cornus.florida","Vitis.sp1.M_SD_001","Celastrus.orbiculatus","Rhus.radicans","Lindera.benzoin","Smilax.rotundifolia","Lonicera.japonica"
"Quiscalus quiscula",8.32737992373874,11.9880818309542,0,0,0,0,0
"Turdus migratorius",18.3151250195134,5.0935134396057,1.10737933438137,0,32.4934097556603,0,0
"Zonotrichia albicollis",2.66665713214463,1.47650577917516,14.5523041454109,0.454784145460226,38.1252423438005,6.90852615318459,7.39276048780357
"Junco hyemalis",10.4620679080736,0,12.7339560728863,4.54808787711517,0,0,0.308048377534597
"Cardinalis cardinalis",1.71970777782968,15.4730522646001,24.7814075234704,0,7.99067468216375,6.43537301210331,2.58241611198564
"Dendroica coronata",0,0,0,6.39713008168176,0,0,0
"Parus atricapillus",0,0,0,4.92877404055356,0,0,0
"Catharus guttata",-8.47190069048803,0,-9.39093464312564,0,-13.1216483850767,0,0
"Parus bicolor",-0.583060967852729,-1.04921695945567,-3.877869424185,-3.87807954459878,0,0,0
"Picoides pubescens",0,0,0,3.60614151019039,0,0,0
"Mimus polyglottos",-0.354207053346583,0,-3.14105220033713,-0.785305599169605,0,-0.441829815737643,0
"Bombycilla cedrorum",0,0,-23.8864988726,0,0,0,0
"Melanerpes carolinensis",0,-73.9732680931297,0,-91.1391475499078,0,0,0
"Picoides villosus",0,0,0,3.92642423497929,0,0,0
"Sturnus vulgaris",0,0,-5.04999791847691,0,0,0,0
"Carpodacus purpureus",-0.900273103906879,0,0,0,0,0,0
"Colaptes auratus",-0.311623277848451,0,0,-0.690893935097678,0,0,0
"Zenaidura macroura",0,-0.729302409314921,0,0,-3.76630169542335,0,0
"Euphagus carolinus",0,0,-0.44980583619892,0,0,0,0
"Pipilo erythophtalmus",-0.222208578985765,0,0,0,0,0,0
"Vireo olivaceus",-0.222208578985765,0,0,0,0,0,0
