"","Guarea.guidonia.","Cecropia.schreberiana.","Schefflera.morototoni.","Miconia.prasina.","Cupania.americana.","Alchornea.latifolia.","Myrcia.sp1.M_SD_003","Byrsonima.coriacea.","Clusia.rosea.","Henriettea.fascicularis.","Casearia.arborea.","Ocotea.leucoxylon.","Miconia.affinis.","Phoradendron.sp1.M_SD_003","Psychotria.berteroana.","Inga.vera.","Ficus.sp1.M_SD_003","Myrcine.coriacea.","Anthurium.scandens.","Dendropanax.arboreus.","Inga.laurina.","Miconia.serrulata.","Tournefortia.hisutissima.","Unidentified.sp2.M_SD_003","Unidentified.sp3.M_SD_003"
"Loxigilla portoricensis ",33.1751980410981,8.26971590110052,0,22.0549973331547,33.9804251226132,12.6403926609261,7.63506465543982,4.32161704001882,0,-21.195617444998,4.53497129669454,0,-5.54453309802816,-1.38613327450705,-1.38613327450704,4.57574730250979,0,0,0.930408521772385,0,0,0,0,0,0
"Spindalis portoricensis ",0,8.41061627064869,142.832122442781,40.0549516274924,0,0,16.1773995086576,3.66270770634514,0,-4.49098975207897,0,0,0,0,-3.52437593119281,7.75618235118657,0,1.17479197706427,0,0.999450781915412,0,3.25106382899247,3.604417990686,0,0.449171327919694
"Vireo altiloquous ",72.225926480735,10.2022944601987,148.507755774105,0,179.66326454412,31.1887396281995,0,106.631013964136,-141.92704562475,0,27.9738222514207,0,0,0,0,0,0,17.1006356164162,0,0,0,0,0,-69.5753026731924,0
"Turdus plumbeus ",0,8.01099032549848,388.70151526832,0,15.6749126899876,0,0,0,0,-17.1104110795642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columba squamosa ",0,4.11421279875293,179.66326454412,0,0,0,0,64.5005911327186,0,0,11.2808209943191,-40.2985657298107,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coereba flaveola ",0,14.9983879770803,0,16.3265686557552,25.1545595465615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyrannus dominicensis ",7.63506465543982,0,0,0,113.954147036187,0,0,0,0,0,8.87141025209338,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euphonia musica ",0,3.66270770634514,0,0,0,0,0,0,0,0,0,0,0,-18.4178069256869,0,0,6.65508601234274,0,0,0,0,0,0,0,0
"Margarops fuscatus ",-1.64346272522751,-2.78577371990164,0,-5.30681833554599,0,0,-6.42995561191032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Icterus dominicensis ",0,0,0,0,-26.3622359016217,0,0,0,0,28.776472454696,0,0,0,0,0,0,0,0,0,0,-8.7978164751672,0,0,0,0
"Zenaida zenaida ",0,0,0,0,0,11.7498005953603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Molothrus bonariensis ",0,0,0,0,-8.05971314596215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nesospingus sp1 M_SD_003",0,-1.17479197706427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tiaris bicolor ",0,-1.17479197706428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Todus mexicanus ",0,-1.17479197706427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp1 M_SD_003",0,0,0,0,0,0,0,0,0,0,10.6333956193945,0,0,0,0,0,0,0,0,0,0,0,0,0,0
