"","Phoradendron.sp1.M_SD_004","Schefflera.morototoni.","Cecropia.schreberiana.","Ficus.sp1.M_SD_004","Guarea.guidonia.","Cordia.sulcata.","Alchornea.latifolia.","Miconia.serrulata.","Clusia.rosea.","Anthurium.scandens.","Miconia.affinis.","Inga.vera.","Musa.acuminata.","Inga.laurina.","Dendropemon.bicolor.","Myrcine.coriacea.","Syzigium.jambos.","Andira.inermis.","Coffea.arabica.","Miconia.racemosa.","Palicourea.guianensis.","Tilandsia.sp1.M_SD_004","Buchenavia.capitata.","Casearia.arborea.","Citrus.sinensis.","Dendropanax.arboreus.","Henriettea.fascicularis.","Momordica.charantia.","Palicourea.crocea.","Philodendron.angustatum.","Piper.sp1.M_SD_004","Solanum.rugosum.","Unidentified.sp1.M_SD_004","Zanthoxylum.martinicensis"
"Spindalis portoricensis ",7.17465920596624,36.706005991481,27.7801083660592,36.1503311057412,0,99.3268109662042,2.52294830812795,-4.81832286570508,0,1.1101018113643,-2.34383718003591,0,-0.68020154537386,-2.72159913619871,0,0,0,-1.00073136277892,0,0,0,0,0,0.945665853719792,0.573788088727295,0.393673623295672,0,0,0,0,0,0,0,0
"Euphonia musica ",36.050541598776,0.598820874651283,0,0,0,0,0,-1.46731200296352,0,16.2267154715098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.914250776426127,1.43948905787933,0,0,0,0,0,0
"Nesospingus sp1 M_SD_004",2.87380431373026,3.50061021748296,7.67400094929195,5.67842657199663,17.6819242734907,0,0,-12.8665038425739,7.31315396568204,0,-15.6470368029637,-24.1736565646263,-2.72454214086693,0,-7.14624164657395,-4.76416109771592,-1044177545751060,0,0,-2.67228126538071,1.11495840835093,5.63358461977287,0,1.26261913946028,0.766101281939785,0,0,0,0,7.54623822870285,0,0,-9.0098916026858,0
"Loxigilla portoricensis ",9.56920529269619,0.971362178372167,8.51763985799495,0,66.7276558135189,0,17.4480629229696,0,0,0,0,0,-4.03208511217368,0,-2.64395383346666,-2.64395383346664,-3476906638902559,0,-2.08430366453508,-1.48302883777204,2.47506202871991,0,1.00831505685753,0,0,0,0,0,2.64395383346664,0,0,0,0,-22.003840610176
"Vireo altiloquous ",2.64865175743288,7.25928660512183,14.1455394187925,3.92515622432464,136.891499694452,0,9.31390785039451,0,222.42639638482,0,-4.32634379405522,-8.35490054562471,0,-2.51181558878994,0,-6.58635850945228,0,-7.3887520135826,-10.3844257818932,0,0,0,2.51181558878995,0,0,0,0,0,0,0,0,0,0,0
"Melanerpes portoricensis ",0,0,14.2090281936009,0,0,0,0,0,81.2453463864439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columba squamosa ",0,3.84153619272971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Margarops fuscatus ",0,-0.733656001481758,-1.07220865354783,-1.19008157855241,-2.96461452262342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16600874869279,0,0
"Tyrannus dominicensis ",0,20.0160268392888,0,0,0,0,0,0,41.8156484049215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zenaida asiatica",0,0,0,0,0,0,6.50606857280491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coereba flaveola ",-1.17191859001795,-1.07064445133097,-3.12940736059274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendroica tigrina ",0,-2.06759525742881,-9.06512121173485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vireo flavirostris ",-0.68020154537386,0,0,0,-2.51108375581779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendroica caerulescens ",0,0,-0.908445394794082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Icterus dominicensis ",0,0,0,0,0,0,0,0,-13.6204219370566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myarchus antillarum ",0,0,0,0,0,0,0,0,-13.6204219370564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tiaris bicolor ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4532497907303066,0,0,0
"Todus mexicanus ",0,0,0,0,0,0,-1.17301436724879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyrannus caudifasciatus ",0,-1.28492190783814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vireo latimeri ",0,0,0,0,0,0,-1.17301436724879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
