"","Guarea.guidonia.","Clusia.rosea.","Ocotea.coriacea.","Roystonea.borinquena.","Cupania.americana.","Cecropia.schreberiana.","Clusia.gundlachi.","Hyeronima.clusioides.","Ficus.sp1.M_SD_005","Margravia.rectiflora.","Persea.americana.","Phoradendron.sp1.M_SD_005","Alchornea.latifolia.","Anthurium.scandens.","Ardisia.obovata.","Bursera.simaruba.","Chrysophyllum.argenteum.","Comocladia.glabra.","Dendropemon.bicolor.","Guapira.fragrans.","Petitia.dominguensis.","Syzigium.malaccensis.","Unidentified.sp1.M_SD_005","Unidentified.sp2.M_SD_005","Zanthoxylum.martinicensis"
"Loxigilla portoricensis ",53.7695207282674,9.37112257873244,0,0,-30.7517062286011,3.12370752624417,11.7362928266837,0,-4.88419666257263,0,0,0,-1.90862357950728,0,0,2.04837288033553,0,1.65854585439914,0,0,0,0,-5.29418938337111,0,0
"Margarops fuscatus ",34.3607827886856,7.07732549066596,14.2551220104806,0,0,0,17.7271321958193,0,-3.68867755714775,-4.12433990048448,-1.2783244410586,0,0,0,0,0,1.31991045527743,0,0,-4.20381756396133,0,-2.68809492635392,0,0,2.95452203263654
"Columba squamosa ",0,0,7.17815309616932,145.149691650114,0,4.75170733682689,8.92648051444728,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45628275244315,0,0,0,0
"Turdus plumbeus ",69.3959458205274,0,52.781706054587,145.541014696361,-85.9922382157588,13.102424287436,0,0,0,-22.9064713865508,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.102424287436,0
"Vireo altiloquous ",-5.12528437143352,-19.3537676111397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spindalis portoricensis ",0,0,0,0,0,0,0,94.4230956018689,0,0,-1.2783244410586,0,0,0,1.44144420242555,0,0,0,0,0,0,0,0,0,0
"Euphonia musica ",0,0,0,0,0,0,0,0,0,0,0,-10.8314950172896,0,4.31461915082504,0,0,0,0,-30.7905778972067,0,0,0,0,0,0
"Tyrannus caudifasciatus ",166.701466406668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyrannus dominicensis ",0,0,-7.42972026704322,0,12.1045400544515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Molothrus bonariensis ",0,-8.24867980096895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myarchus antillarum ",-1.69263587612988,-1.2783244410586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coereba flaveola ",0,-1.44144420242554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vireo latimeri ",0,-1.44144420242554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
