"","Cecropia.schreberiana.","Guarea.guidonia.","Schefflera.morototoni.","Alchornea.latifolia.","Dendropanax.arboreus.","Ocotea.floribunda.","Inga.vera.","Ficus.sp1.M_SD_006","Miconia.prasina.","Musa.acuminata.","Phytolacca.rivinoides.","Tournefortia.hisutissima.","Casearia.sylvestris.","Citrus.sinensis.","Coffea.arabica.","Miconia.laevigatta.","Momordica.charantia.","Murraya.paniculata.","Piper.amalaga.","Roystonea.borinquena.","Solanum.rugosum."
"Spindalis portoricensis ",30.4479455521153,0,18.0323143469071,0,6.8453908944899,0,0,-1.26071967869113,0,-2.11159393271236,-1.37236373433748,1.79105562071269,0,0,0,1.37236373433748,0,0,4.79479317423637,-5.12866692997344,2.11159393271236
"Loxigilla portoricensis ",7.49740320208874,25.4997563873886,0,6.66567274458264,21.4912319102671,0,18.074987603629,0,-3.07980858215614,0,0,0,0,0,0,0,0,0,0,0,0
"Vireo altiloquous ",12.880224533505,13.4792347518915,0,13.7416157519452,0,0,24.8416570377544,0,-4.23278567142666,0,0,0,0,-1.67685666251523,-11198705935862826,0,0,0,0,0,0
"Turdus plumbeus ",6.36945369654918,0,18.322154335927,0,12.1719838940244,-12.116687442086,0,-4.48344290645553,0,0,-2.44023891821063,3.18472684827464,0,0,0,0,0,0,0,0,0
"Coereba flaveola ",34.2269544724495,0,9.84560956354418,0,0,0,132.024758146052,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyrannus dominicensis ",-2.27143092447883,-2.37706653126366,-13.0678422183195,0,0,2.88064668959069,0,0,0,0,0,0,0,0,0,0,-1.47857052850574,0,0,0,0
"Nesospingus speculiferus",34.543489012593,0,0,0,0,0,0,0,-28.3797819194148,0,0,0,0,0,0,0,0,13.0864802033387,0,0,0
"Melanerpes portoricensis ",-1.26071967869113,-1.31935095240009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyrannus caudifasciatus ",0,-6.15961716431229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columba squamosa ",0,0,0,0,0,2.67794015062259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euphonia musica ",-1.37236373433748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Icterus dominicensis ",0,0,0,0,0,0,0,0,0,-2.11159393271239,0,0,0,0,0,0,0,0,0,0,0
"Myarchus antillarum ",0,-1.22009426915289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vireo flavirostris ",0,-1.22009426915288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vireo latimeri ",0,0,0,0,0,0,0,0,0,0,0,0,5068342968193104,0,0,0,0,0,0,0,0
