"","Ficus.vogelii","Bridelia.micrantha","Halleria.lucida","Ficus.natalensis","Apodytes.dimidiata","Trema.orientalis","Dovyalis.longispina","Sideroxylon.inerme","Trichilia.emetica","Vepris.undulata","Erianthemum.dregei","Euclea.natalensis","Antidesma.venosum","Ekebergia.capensis","Strelitzia.nicholai","Mimusops.caffra"
"Cholorocichla flaviventris",37.499257423908,18.8624097210922,5.38580651171172,7.15351437267387,39.2841096214733,2.15467233232858,17.1477268898253,37.3732592070864,39.612417260738,18.0010165622863,0,17.1538440757733,0.997187742102258,2.00333548159012,0,3.6377774146464
"Pogoniulus bilineatus",13.1883515123083,1.01595967923774,10.0638286737377,36.6497143256351,7.93464461864529,24.3197839285923,8.96868199891792,14.0010209710182,21.6057958698733,26.2194768580807,22.4275921197855,10.0273969005065,9.90951957552898,1.58000625579905,3.79984689231086,1.09546334671685
"Pycnonotus barbatus",31.2791070487873,26.0744652001387,7.10597590657668,10.6693496935343,1.07179768942862,4.6419512312776,25.5755542108993,0,7.11822560201213,0,0,4.01328280685432,4.09004532386223,0.42684887241675,13.3451906408724,1.47973241436151
"Buccanodon leucotis",74.1104089009013,3.79134975782432,5.54806184063785,8.84282939563811,0,0,1.23960191857486,2.74994167959553,0,0,0,5.54372668701116,1.54084423044498,8.25475561755635,3.54505914194874,0
"Unidentified sp1 M_SD_008",7.66519212126308,3.17385784745811,44.6582370595257,6.41559529683003,8.26260943366483,18.1679348862111,0,3.45309370171837,0,7.26617781190949,2.23607851842439,2.32041378053054,4.72959319800506,0,0,0
"Zosterops pallidus",15.5615224001509,1.58607286490819,4.6419512312776,13.8107511108485,4.12907611050252,21.8722981438155,3.11144962917055,0,0,8.58266868492942,0,0,7.73515938881326,2.95996595131211,0,0
"Bycanistes buccinator",52.044855297189,0,0,3.09900479643715,0,0,0,0,2.06755012408351,0,0,0,0,6.1990971379208,0,0
"Lumprocolius corruscus",7.34117591567769,1.10534376086986,7.96308641147887,5.49988335919107,11.5103123390612,2.30082063470159,8.67355217016106,1.60345579936218,33.2533418782535,0,0,0,0,8.2512726093689,0,2.38368431405382
"Andropadus importunus",5.24983843214601,6.32364757167023,0,0,4.11564038089325,3.29073617967264,27.9119266751274,28.6666740329771,4.92004252578871,34.2189650858478,0,2.31161565415947,0.856665523588008,0.98344480857782,0,0
"Tauraco porphyrocephalus",4.21300387627978,5.07473745640273,0,14.2033968125511,0,0,6.63684934288989,3.68080840222315,2.63222808352675,0,0,2.7826129805661,1.37495095066238,10.2598087492713,0,4.5598831260305
