"","Cabralea.canjerana","Trema.micrantha","Trichilia.clauseni","Protium.heptaphyllum","Chamissoa.altissima","Ixora.venulosa","Dendropanax.cuneatum"
"Chiroxiphia caudata",16.987350492179,67.1747999382057,4.36807280833646,4.9026919949115,3.35460381609425,68.7040548873779,0
"Manacus manacus",4.79819999558612,70.4748869948025,0,33.2352194216632,1.26337614355947,116.435742940303,2.99413332368901
"Vireo olivaceus",24.0244004458505,4.93517501492168,11.2319222869469,0,0,0,0
"Saltator similis",0,27.6960161847193,5.04264996486211,33.9589938638669,0,39.6571342975924,4.58900634339484
"Myiodynastes maculatus",13.418415264377,0,0,0,0,0,0
"Tachyphonus coronatus",0,271.683400194041,52.9990207915318,39.6571342975924,9.04496102604729,0,0
"Pitangus sulphuratus",11.925345184899,0,0,0,0,0,0
"Turdus leucomelas",11.4688647749254,0,0,0,0,0,0
"Trichothraupis melanops",0,0,2.73583107358178,0,7.00356866923949,0,0
"Turdus rufiventris",0,0,0,32.5817359579801,0,0,0
"Tyrannus savanna",80.5190483844136,0,0,0,0,0,0
"Cyclarhis gujanensis",0,0,-2.12730407041738,0,0,0,0
"Dacnis cayana",-3.21014830991279,0,0,0,0,0,0
"Empidonomus varius",-3.21014830991279,0,0,0,0,0,0
"Myiarchus ferox",-3.2101483099128,0,0,0,0,0,0
"Myiophobus fasciatus",0,0,0,0,0,0,-1.36523296426669
"Turdus amaurochalinus",0,0,0,0,0,-109.504024500699,0
"Tyrannus melancholicus",-3.21014830991279,0,0,0,0,0,0
