"","Trema.micrantha","Cecropia.pachystachia","Urera.baccifera","Chamissoa.altissima","Cabralea.canjerana","Dendropanax.cuneatum","Pera.glabrata","Trichilia.clauseni","Citharexylum.mirianthum","Zanthoxylum.hyemale","Talauma.ovata","Gomidesia.affinis","Ocotea.macropoda","Ocotea.corimbosa","Miconia.discolor","Cestrum.sp1.M_SD_012","Momordica.charantia.","Ocotea.sp1.M_SD_012","Miconia.elegans","Pereskia.aculeata","Persia.major","Protium.heptaphyllum","Rubus.sp1.M_SD_012","Copaifera.langsdorffii","Maytenus.aquifolium","Miconia.sp1.M_SD_012","Palicourea.sp1.M_SD_012","Paullinia.sp1.M_SD_012","Xylopia.brasiliensis","Chlorophora.tinctoria","Cordia.sp1.M_SD_012","Ficus.luschnatiana","Paullinia.rhomboidea","Piper.sp1.M_SD_012","Rhipsalis.sp1.M_SD_012"
"Tachyphonus coronatus",11.2908321430983,45.8659453833808,21.8959241621147,4.25568206018052,0,0,16.0672859915483,6.28197932294541,0,0,0,-7.91603989019709,0,0,0,14.3907019604195,3.54810234506147,0,0,5.70426171911003,0,0,-2.87226930857415,0,0,0,0,0,0,0,2.24090683512338,0,0,0,1.47559379650271
"Chiroxiphia caudata",14.3331079323065,7.27804577715648,0,4.32188873387395,11.1780196021146,8.92769401570569,5.82758880017207,5.31642466047601,96.0870131831373,0,0,-120.587874521182,154.847504209391,0,-79.5436294510882,0,0,-36.923480809048,-20.8859092576497,14.4825107410892,0,31.8901187063734,-7.29238473988114,0,0,0,-2.26329511711384,0,0,0,0,2.26329511711384,0,0,0
"Trichothraupis melanops",21.8959241621147,9.26523514286251,20.6412577691465,15.1303139150846,0,0,3.70937351884873,6.76801522095786,0,0,0,0,24.6408613952469,-7.7335208544445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1325251814386,0
"Vireo olivaceus",5.95795488425273,0,0,0,26.5511696214012,5.30149182450281,5.19085572259629,11.0495987409855,0,41.5071620513826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Manacus manacus",22.0135687974667,22.3560392042292,28.4601067968499,6.63779240535031,0,34.2790983200674,17.9006573566338,0,24.5959458018456,0,30.2652107280805,-30.8675722954333,118.911620673218,0,0,0,0,0,0,0,0,0,-11.2000421630214,0,-21.827663593662,32.6523889267494,-3.4760920663449,0,0,0,0,0,10.913831796831,0,0
"Saltator similis",21.0982352953066,0,0,2.65074591225141,0,21.9025059414252,7.14847518829656,6.52145013641638,9.8221816547995,0,0,0,0,0,0,44.8178386643765,5.52503550219537,0,0,8.88256466326675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dacnis cayana",13.7719594213271,17.4827664005162,0,1.73028524086543,26.8509860349507,0,13.9985892904727,0,0,62.1864620339388,31.5571468563974,-16.0926107665207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elaenia flavogaster",4.18798621529694,5.31642466047601,0,3.15702821171014,0,0,0,0,0,0,86.3673808402509,-88.0863310685678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pitangus sulphuratus",0,16.0145021971895,0,0,147.575674811073,0,0,0,0,0,130.080900093849,0,85.1810284078574,-53.4680382336198,0,0,0,0,0,0,9.05124110594299,0,0,0,0,0,0,0,23.3901787983976,0,0,0,0,0,0
"Thraupis sayaca",18.3539086814308,77.6643536326802,0,4.61190689459806,0,0,12.4372924067878,0,0,0,0,0,0,0,0,0,0,0,-22.2874476499916,0,0,0,0,0,0,0,0,0,0,6.8203076992458,0,0,0,0,0
