"","Prunus.mahaleb","Crataegus.monogyna","Juniperus.phoenicea","Berberis.vulgaris","Hedera.helix","Rosa.canina","Lonicera.arborea","Juniperus.sabina","Taxus.baccata","Juniperus.communis","Daphne.laureola","Rhamnus.myrtifolius","Rubus.ulmifolius","Sorbus.aria","Amelanchier.ovalis","Arum.italicum","Prunus.prostrata","Rhamnus.saxatilis","Rubia.peregrina","Cotoneaster.granatensis","Juniperus.oxycedrus","Lonicera.splendida","Lonicera.etrusca","Paeonia.officinalis","Polygonatum.odoratum"
"Turdus viscivorus",305.509115041412,60.2933106153412,35.0430819785526,3.93569845378336,1.72210626401753,9.72264796309558,0.641497198399544,7.31287306144571,4.02003870804459,5.96724218280523,0,0,0.879735147691644,0,0,0,0,0,-1.6601068631881,0,-0.893025448589202,0,0,0,0
"Phoenicurus ochruros",468.892605694513,0,0,11.7073503744822,0.29106104111819,0,1.73475791910758,0,17.3937943954814,0,0,-164.993086077466,1.18950442650635,0,2.53316238025804,0,0,-1.08998667623094,0,0,0,0,0,0,0
"Turdus merula",177.653189508662,45.7342490129041,2.51964448246837,8.46116134717068,25.0971198563612,18.271184255632,3.71302280533356,3.02338080769715,6.64806172565992,4.175012784392,0,-56.0549454521455,0,0,0,4.33238435797689,-19.6278834779017,0,0,-1.29664963900641,0,0,0,-0.477104629398255,3.37802778051647
"Fringilla coelebs",308.165188931237,36.1863557029448,0,5.04376956509615,0.45978217421841,0,3.42544455935107,0,0,0,7.12079614725478,0,0,0,0,0,0,0,0,0,0,-1.35991393849082,0,0,0
"Turdus torquatus",0,109.147890419321,32.5728576859157,21.8396532753745,0.251478159341697,14.9723576146157,24.7308485222077,33.1047303862354,5.16598610199703,2.41308788438469,0,0,0,-533.702995304229,0,0,0,0,0,0,0,0,0,0,0
"Parus ater",172.797970616835,2.39020962363939,0,0,0,0,6.15427629174573,0,0,0,0,0,0,0,13.4800778324022,0,0,0,0,0,0,-1.52704378319696,-0.810730340020887,0,0
"Turdus iliacus",0,131.841601852176,1.06086365866673,25.3482897391979,2.62296878265839,6.92356082821395,1.11665724084339,14.3207472460997,8.39724072312378,0.799015923268719,0,0,0.765679589205674,0,0,0,0,-1.40324076463907,0,0,0,0,0,0,0
"Erithacus rubecula",159.969098219125,2.47196411894347,0,15.6196106882776,0,0,0,0,9.9714574663206,0,3.30776601236104,0,1.09106432100768,0,9.29409939410148,4.33210842859425,-29.4399500682081,-1.99956477051913,-4.11779243386414,-3.88970116633174,0,0,0,0,0
"Sylvia communis",146.329408972823,0,0,0,0,0,0,0,0,0,0,0,0.959649268693886,0,0,0,0,0,-3.62181809239379,0,0,0,0,0,0
"Sylvia atricapilla",28.4591550256865,3.72388003144966,0,3.92168289009221,22.5221535875904,0,3.19606369307487,0,0,0,16.6099010199277,0,1.64362929335893,0,0,0,0,0,0,0,0,0,0,0,0
"Garrulus glandarius",180.028035619407,23.4403366929453,4.41063559634887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phoenicurus phoenicurus",-1504.98473913955,0,0,-28.9595152183971,0,0,0,0,0,0,0,498.825438510245,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turdus pilaris",0,44.0116637807349,2.9096901740687,5.63709518828488,0,10.0223089772715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coccothraustes coccothraustes",-249.188440390067,-7524.81035341493,-549.454123321082,0,0,-398.436271349733,0,0,-362.432572598341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parus major",76.8126533820548,68.395384266967,0,16.0063044146176,0,0,3.26117446473729,0,0,0,6.77931233790756,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columba palumbus",96.058013545854,28.3378095279979,4.33238435797689,0,0,0,0,0,19.0516022078493,4.35072444288065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parus caeruleus",-723.999886019349,-112.336482705904,0,-50.7015024007539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parus cristatus",-29.826946436219,-3.26996002869283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corvus corone",-31.5420304005738,-22.4465791484776,-4.11805471260043,-3.54583249101409,0,0,0,-8.23558486772828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sylvia melanocephala",-54.8852788718997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sitta europaea",-14.7349199017218,-0.603737230953517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sylvia cantillans",-40.7482750453446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendrocopos major",-14.1972255513423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serinus serinus",-10.3860718591633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pica pica",0,71.8101568843961,0,17.4518137746739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sylvia borin",-2.60678662387373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turdus philomelos",0,-7.93010077248779,0,0,0,-1.17221041424382,0,0,0,0,0,0,-1.16671731445612,0,0,0,0,0,0,0,0,0,0,0,0
"Loxia curvirostra",0,-4.21769372533112,0,0,0,-1.87035120388751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serinus citinella",-1.69357429166494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sylvia conspicillata",-0.743073519143052,0,0,0,0,0,0,0,0,0,0,0,-0.443459634980903,0,0,0,0,0,0,0,0,0,0,0,0
"Corvus corax",0,-1.03899706685494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ficedula hypoleuca",-0.306520502688131,0,0,0,0,0,0,0,0,0,0,0,-0.36585739293469,0,0,0,0,0,0,0,0,0,0,0,0
"Emberiza cia",0,-0.361090574208815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
