"","Ctenophthalmus.proximus","Ctenophthalmus.hypanis","Ctenophthalmus.inornatus","Megabothris.turbidus","Ctenophthalmus.shovi","Amphipsylla.rossica","Myoxopsylla.jordani","Nosopsyllus.fasciatus","Leptopsylla.segnis","Leptopsylla.taschenbergi","Hystrichopsylla.talpae","Amphipsylla.georgica","Hystrichopsylla.satunini","Rhadinopsylla.integella","Ceratophyllus.sciurorum","Amalaraeus.penicilliger","Ctenophthalmus.euxinicus","Palaeopsylla.caucasica"
"Microtus arvalis",0.324437852253801,71.6614679673203,2.16056596461761,56.7491065359045,13.4643983390775,24.5061841285096,0,0,0,0,2.40580591823664,0,0,0,0,2.14302689947746,0,0
"Apodemus sylvaticus",87.7989741126329,3.68941307837639,1.21430885662632,32.4354478868094,28.3778737030718,1.57408895455812,1.84674294793256,-70.4409635002975,71.6147517781961,33.8675599009382,0.936098131234944,1.97851165118673,4.22958413221549,2.40326173932927,1.5091799197847,0,0,1.0724798548678
"Prometheomys schaposchnikowi",0,2.42861771325263,88.4601898028301,1.42341164844308,0,1.72695052756987,0,0,0,0,0,0,0,0,0,0,0,0
"Apodemus mystacinus",35.5884227428554,2.4326585915107,0,4.27734001561398,14.4146234561196,0,1.6235627015872,-61.9281211448411,72.9011177564993,0,0,0,5.94949723607416,0,0,0,4.34283419616874,0
"Microtus majori",10.0982987543081,2.52247766249527,0,29.9380641011716,29.3188071339497,1.61432352882565,0,0,20.6162144524928,0,0.853355832226428,0,3.47015569203321,0,0,0,0,0
"Dryomys nitedula",0,0,0,1.38385914426369,0,0,33.0923590849785,0,0,0,0,0,0,0,0,0,0,0
"Cricetulus migratorius",0,1.84674294793256,1.62086580887717,12.9885016126976,0,3.93956655773554,0,0,0,0,0,12.8745225055994,0,0,0,0,0,0
"Sorex araneus",-15.318415003951,0,0,0,-9.63219640519839,0,0,0,-38.3809413882853,0,0,0,0,0,0,0,0,0
"Chionomys nivalis",0,7.53839492402064,9.92454845963036,13.2547486829999,0,6.43251592213678,0,0,0,0,0,0,0,13.0945749993207,0,0,0,0
"Myoxus glis",0,0,0,0,0,0,4.8435638547431,0,0,0,0,0,0,0,0,0,0,0
