"","Megabothris.walkeri","Ctenophthalmus.breviatus","Citellophilus.tesquorum","Ctenophthalmus.assimilis","Neopsylla.pleskei","Amalaraeus.penicilliger","Neopsylla.setosa","Oropsylla.silantiewi","Frontopsylla.elata","Stenoponia.ivanovi","Amphipsylla.sibirica","Amphipsylla.rossica","Mesopsylla.hebes","Palaeopsylla.soricis","Hystrichopsylla.talpae","Peromyscopsylla.bidentata","Amphipsylla.kuznetzovi","Amphipsylla.prima","Pectinoctenus.pavlovskii","Oropsylla.ilovaiskii","Corrodopsylla.birulai","Amphipsylla.dumalis","Frontopsylla.elatoides","Leptopsylla.segnis"
"Arvicola terrestris",73.0836586841159,17.1830052466797,4.92233054133995,16.3509573514738,12.2836182267376,0.511573800714291,0,0,1.91342371078553,0,0,7.52544219913411,0,0,21.2043301901876,0,0,0,2.35130308772765,0,0,0,0,0
"Lagurus lagurus",0,25.1914911141267,19.7990656845568,0.786920265899983,13.3309285473351,0,0,0,0,0,0,0,0,0,0,0,0,6.89103031036097,0,0,0,0,0,0
"Clethrionomys glareolus",0.757281621744608,0,0,10.6686790731342,1.07154659282919,39.2713396537943,4.9605406119893,0,2.96738142724888,0,50.3133037809965,0,0,0,49.3262432379265,41.409027092126,0,0,0,0,0,0,0,0
"Cricetus cricetus",3.58923454056741,18.4926262486496,4.40662831281632,1.70994746255192,14.2956961604499,0,0,0,0,0,0,0,0,0,0,0,-7.34695419707299,0,0,0,0,0,0,0
"Microtus oeconomus",9.51980412572162,5.45356167845525,0,4.51443036645787,3.476241567345,0,0,0,1.20332316072401,44.6443294380424,8.16115692795808,18.9305459984924,0,0,0,12.2124058986978,-9.05178656000725,0,0,0,0,0,0,0
"Microtus gregalis",1.79050830250002,7.57078580534311,4.76016238227809,8.4605278029632,5.79097812381297,0,0,0,1.50343797272819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spermophilus pygmaeus",0,19.1685064796217,8.81873886575875,0,0,0,4.13878954115033,0,0,0,0,0,3.13619003834676,0,0,0,0,6.77814061813834,0,3.27921467547392,0,0,3.59922859913775,0
"Marmota bobak",0,0,2.14821078053184,0,0,0,26.885151254974,162.418155419373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allocricetulus eversmanni",0,6.92187874354923,2.59645874884277,0,5.41495422325802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neomys fodiens",10.4118188048749,1.86769225300294,0,17.3932431852696,3.57154635504339,0,0,0,3.70894056011089,0,0,0,0,-23584.4888048283,0,0,0,0,0,0,0,0,0,0
"Sorex araneus",4.32572941420021,6.40165129665665,0,15.8977622587119,8.16115692795808,6.79772684366492,0,0,8.47510936118481,0,0,0,0,-118561.745851673,0,0,0,0,0,0,21.5458865256392,0,0,0
"Cricetulus migratorius",2.5084807330447,8.66204068708263,4.37648571138575,0,4.7326364996231,0,58.423804036192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microtus arvalis",2.15448409528038,10.6280772416489,0,0,0,0,0,0,0,0,0,8.30080345951084,0,0,0,0,0,0,0,0,0,0,0,0
"Allactaga major",0,-1600.54499356927,-1886.90470813353,0,0,0,0,0,0,0,0,0,-37578.019146067,0,0,0,0,0,0,0,0,0,0,0
"Apodemus uralensis",0,25.1042476047888,9.86524864758529,15.5858754878295,0,13.3287342534737,37.039480175115,0,16.6176845646032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spermophilus major",6.47304835337439,35.124726073971,11.2933710251253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sicista subtilis",-2.39889881540865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.4848138799472
"Ellobius talpinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.09060953860037,0,0
