"","Neopsylla.mana","Ctenophthalmus.assimilis","Megabothris.rectangulatus","Amalaraeus.penicilliger","Palaeopsylla.soricis","Hystrichopsylla.talpae","Frontopsylla.elata","Megabothris.turbidus","Ceratophyllus.indages"
"Sorex araneus",179.412506544226,31.0233289040281,4.23818370839584,2.44285070987556,12.2667759344804,9.61272538411755,0,1.42354970170903,0
"Neomys fodiens",65.69646120853,56.7999122012304,2.19855186810256,1.6896338498504,8.15817032142909,0,0,0,0
"Microtus oeconomus",3.39054696671667,32.2454273988376,27.061563674198,15.3037375948388,3.41040200553256,5.79046952174589,0,0,0
"Microtus arvalis",7.32855212962667,50.689015495512,17.6581587632756,10.1780028044821,3.27620805412168,2.22504946378925,7.14552472808115,9.88523558271541,0
"Clethrionomys glareolus",14.6257713064958,25.2903279964302,17.6204103619182,9.82862416236505,5.06199391141771,5.72978814340693,3.45012073312988,5.72754402795971,0
"Clethrionomys rutilus",9.61272538411755,24.9329392080645,17.3714085652377,13.3502967827355,6.44601166133279,4.05354993788552,3.90527156214486,5.40261644530727,0
"Sorex minutus",64.3131460430266,17.7932557409872,5.16542114234026,0,3.45012073312988,0,0,0,0
"Apodemus speciosus",9.25307306110868,30.7693506559307,5.1450681244193,5.93114134962925,1.90918134265324,14.0468027577989,32.9649327197525,4.32040037533081,0
"Apodemus agrarius",8.19867077815372,28.3536599566773,9.87735555998844,2.27728731943466,21.9911524907288,3.73384422244223,19.9847813546487,4.97650911164171,0
"Sicista subtilis",28.1406495578932,12.5125050686009,4.84321019647975,0,0,7.32333357865691,13.7189245381294,0,0
"Arvicola terrestris",4.60361073286275,15.920777504606,18.025162763657,54.3452892234207,0,3.49429921881872,0,0,0
"Sorex arcticus",175.642247532747,11.0441418334212,0,0,12.8487860593183,0,0,0,0
"Sorex daphaenodon",19.6221967500936,0,0,0,4.57671983996121,0,0,0,0
"Micromys minutus",5.71999336732573,0,6.89116685114351,0,7.67131952181793,0,0,11.5732577801418,0
"Talpa europaea",28.3515133905123,40.8536330503806,0,8.75000129465909,0,4.78217241212167,0,0,0
"Microtus gregalis",-26.1293582148348,-338.864200257201,-78.6984160682289,-90.7221087077991,-35.0431622720135,-59.4992504556665,0,0,0
"Microtus agrestis",-4.42899016041034,-19.1461037340286,-18.675403756815,-6.15104777537774,-14.8497544042522,0,0,0,0
"Cricetus cricetus",-5.62352001916731,0,-3.38747025164346,-3.90501435438801,0,-6.40266828048088,0,0,0
"Sorex caecutiens",-4.80103792114294,-6.64141787558663,0,0,0,0,0,0,0
"Clethrionomys rufocanus",-1.39579389668647,0,-1.68158387854412,0,-1.87195688534363,0,0,0,0
"Sorex isodon",-5.84944937760314,0,0,0,0,0,0,0,0
"Tamias sibiricus",0,0,0,0,0,0,0,0,8.58871024180318
"Sorex minutissimus",0,-1.44292174777262,0,0,0,0,0,0,0
