"","Neopsylla.setosa","Xenopsylla.cheopis","Citellophilus.transcaucasicus","Amphipsylla.schelkovnikovi","Nosopsyllus.iranus","Oropsylla.ilovaiskii","Nosopsyllus.consimilis","Ctenophthalmus.teres","Megabothris.walkeri","Ctenophthalmus.acuminatus","Wagnerina.schelkovnikovi","Amphipsylla.rossica","Ctenophthalmus.secundus","Neopsylla.pleskei","Nosopsyllus.mokrzeckyi","Stenoponia.ivanovi","Leptopsylla.segnis","Nosopsyllus.fasciatus","Callopsylla.saxatilis","Ctenophthalmus.bogatschevi","Frontopsylla.elata","Callopsylla.caspia","Stenoponia.tripectinata","Ceratophyllus.sciurorum","Xenopsylla.conformis","Ctenophthalmus.proximus","Mesopsylla.tuschkan","Rhadinopsylla.cedestis","Megabothris.turbidus","Ctenophthalmus.golovi","Myoxopsylla.jordani","Rhadinopsylla.integella","Ophthalmopsylla.volgensis","Hystrichopsylla.talpae","Paradoxopsyllus.hesperius","Mesopsylla.apscheronica","Rhadinopsylla.ucrainica"
"Spermophilus xanthoprymnus",210.446688518827,0,337.765801881526,0,1.47813524687184,102.053756578751,10.8784798712048,17.3262193281841,0,0,0,0,0,5.44739110581363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meriones vinogradovi",0,247.108768410926,0,0,113.540567343408,0,2.76153050248881,0,0,0,0,0,0,21.9146335231354,0,0,0,0,0,0,0,0,4.62943025401354,0,0,0,0,0.484697632649696,0,0,0,0,0.273078258873937,0,0,0,0
"Cricetulus migratorius",0.509066769979693,0.479989446705844,0.286228976098974,655.433042740217,3.65683780217113,0.322818365640754,36.2288404038869,0,0,2.36174735390237,-340.019578791527,7.44619731052366,5.10222189942139,88.2104207003509,38.6221843813448,0,34.0863434877107,7.03637959155742,0,0,0,0,0,0,0,0.522478269463431,0,0,0,0,0,0,0,0,0,0,0
"Meriones persicus",0,42.4428447218776,0,0.295679138002918,66.2251006762802,0,2.86925073777501,0,0,0,0,0,1.11123549391879,7.47123144948959,5.88818755598719,0,0,0,0,0,0,0,1.2025031191793,0,3.33220116729961,0,0,0.881307781298445,0,0,0,0,1.98611239863816,0,0,0,0
"Microtus arvalis",0,0,1.3297592007895,8.44707916789288,0,0,9.83638749688779,139.470683784433,6.05109040112813,1.37152224968393,0,45.4039105137455,0,2.84588147191125,0,-18.1462309497179,0,1.40903143555935,11.1086392104146,12.4758463439936,11.6234591169734,37.7564331726425,0,0,0,0,0,0,0,-12.3330529460563,0,0,0,3.8557405597019,0,0,0
"Mesocricetus brandti",1.29181970352849,0,0,0,0.749872877556231,0,21.7566588798661,51.1241452819762,0,105.214396996936,0,2.6243949848113,0,77.3784563120263,0,0,0,1.36825140940903,0,0,0.537478776036425,0,0,0,0,0,0,0,5.56913770597575,0,0,1.42882389716031,0,0,0,1.41178634077658,5.16723945686398
"Meriones tristrami",0,18.2787018974259,0,0,34.4273562391073,0,1.35348008023322,0,0,0,0,0,0.89861295882633,24.1667780975068,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13803805941194,0,0,0,0,0,0,0,0,0
"Arvicola terrestris",0,0,2.3857658729106,0,0,0,2.61448812897479,101.63829454318,196.450329268642,0,0,6.46513401777586,0,0,3.57691441035544,0,4.50976686698558,0,38.3844444518344,1.42116425984373,0,30.1067072703887,0,0,0,1.45164760699864,0,0,0,0,0,0,0,0,0,0,0
"Microtus socialis",0.165465459757597,0,0,0.378233274954277,0,0,14.6814024221473,0,0,0,0,13.9166590141293,58.2812705722705,0,6.69527103043277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apodemus flavicollis",0,2.64034252368776,0,0,0,0,28.1463157531441,11.4832403877009,0,24.3592151277169,0,15.3601122381502,3.00712268753032,5.05448883663722,1.32783903479065,0,16.7413692272103,0,0,15.8271389464056,0.983052090734625,22.352707689567,0,0,0,9.6999744616619,1.68318372223179,0,6.11159291440837,0,2.53693300438829,0,0,0,0,0,0
"Crocidura suaveolens",0,0,0,0,0,0,-1.62478385079213,-109.849590934497,-2.57020681624145,0,0,0,0,0,-4.44577483844999,0,0,0,0,0,-19.7483044346382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dryomys nitedula",0,0,0,0,0,0,0,0,0,0,0,3.78342842244774,0,0,0,0,0,0,0,0,0,0,0,4.43547478176779,0,0,0,0,0,0,11.9977928733835,0,0,0,0,0,0
"Chionomys nivalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2968155790187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6479947672202,0,0
"Allactaga elater",0,10.9573167615677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.98514569490354,0,0,0,0,0,0,0,0,0,0
"Sciurus anomalus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46178296748846,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neomys schelkovnikovi",0,0,0,0,0,0,0,-0.689032074873355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
