"","Xenopsylla.skrjabini","Xenopsylla.hirtipes","Xenopsylla.gerbilli","Xenopsylla.conformis","Amphipsylla.schelkovnikovi","Nosopsyllus.laeviceps","Mesopsylla.lenis","Coptopsylla.lamellifer","Echidnophaga.oschanini","Mesopsylla.eucta","Mesopsylla.tuschkan","Xenopsylla.magdalinae","Mesopsylla.hebes","Ophthalmopsylla.volgensis","Ctenophthalmus.arvalis","Ctenophthalmus.dolichus","Nosopsyllus.consimilis","Neopsylla.teratura","Nosopsyllus.tersus","Amphipsylla.rossica","Nosopsyllus.fidus","Pectinoctenus.nemorosa","Citellophilus.ullus","Rhadinopsylla.socia","Ctenophthalmus.dux","Rhadinopsylla.cedestis","Rhadinopsylla.bivirgis","Amphipsylla.dumalis","Citellophilus.trispinus","Ctenophthalmus.breviatus","Paradoxopsyllus.repandus"
"Rhombomys opimus",376.118054111087,201.368871973162,183.967584094728,2.68029291800285,0,38.683647432855,0,28.8784042005579,32.065106412864,0.718749999659154,0,0,0,0,0,170.619263658514,0,0,2.65083460690107,0,0,0,3.42865562935171,2.3276592729434,0,2.08713053327246,1.31485814057729,0,0,0,0.670088657507866
"Cricetulus migratorius",0,0,0,0,93.6427897304433,0,0,0,0,0,0,0,0,0.416810113047845,2.45950843844788,0,-3.34984164954753,-4.85721940610625,0,0.392114048515002,0,0,0,0,0,0,0,0,0.483544709683817,0,0
"Meriones tamariscinus",0,0,0,96.5949725770567,0,48.4556693603757,1.05624986562847,0,3.85978856716076,0,0,0,0,0,1.0527000261141,0,0,0,0,0,2.89939487452529,0,2.70679490302191,0,0,0,0,0,0,0,0
"Allactaga elater",0,0,1.16379485032598,1.96792845752718,0,0,83.9454959846428,0,0,37.9959581822947,4.40851908130839,0,1.23467932027765,11.1616696163861,1.18671450158606,0,-1.81833849462179,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meriones meridianus",0,0,0,104.760521227975,0,18.6522231193511,0,0,2.3495785955998,1.32983124160949,0,0,0,0,2.24284437364288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ellobius talpinus",0,0,0,0,0,0,0,0,0,0,0,13.7407992821412,0,0,1.66083865977011,0,0,0,0,0,0,0,0,0,5.50258492603502,0,0,2.26134722961028,0,0,0
"Pygeretmus pumilio",0,0,0,0,0,0,0,0,0,2.55442918854084,30.6753510657568,0,0,2.73790058658974,0,0,0,0,0,0,0.847561408043125,0,0,0,0,0,0,0,0,0,0
"Allactaga major",0,0,0,0,0,0,0,0,0,0,0,0,16.7110340348057,0,0.845360201714164,0,-1.29529974947106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allactaga sibirica",0,0,0,0,0,0,2.82076775870961,0,0,6.66749472990141,6.49826310057153,0,6.62980692157167,3.1444099676546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apodemus uralensis",0,0,0,0,1.32983124160949,0,0,0,0,0,0,0,0,0,1.27292213754913,0,-3.90085959220745,-0.80802671946875,0,0.365290543831084,5.50933546757016,9.07999984772124,0,0,0,0,0,0,0,0,0
"Allactaga severtzovi",0,0,0,0,0,0,0,0,0,13.1354759644405,0,0,0,1.35157719028303,0,0,0,-0.562512653671396,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microtus gregalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73259734029596,0,-6.62943443311256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microtus socialis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.81772549203431,0,-1.14082650107889,-0.472623160798331,0,0.427324412115224,0,0,0,0,0,0,0,0,0,0.392046344498929,0
"Microtus arvalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18295925067761,0,-2.50862286109637,0,0,1.09627691243456,0,0,0,0,0,0,0,0,0,0,0
"Pygeretmus shitkovi",0,0,0,0,0,0,7.53936076226814,0,0,0,0,0,0,2.18295925067761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dipus sagitta",0,0,0,80.635054687696,0,0,0,0,0,0,12.9026604401977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stylodipus telum",-3.25047625561318,0,0,0,0,0,-1.65030786145287,0,0,0,-1.35780341660904,0,0,-0.836207620365455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spermophilus pygmaeus",0,0,0,0,0,-0.527134368330177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
