"","Corrodopsylla.birulai","Peromyscopsylla.bidentata","Megabothris.rectangulatus","Amphipsylla.sibirica","Amalaraeus.penicilliger","Catallagia.dacenkoi","Megabothris.calcarifer","Catallagia.ioffi","Rhadinopsylla.integella","Amphalius.runatus"
"Microtus oeconomus",18.6869041577904,62.4963114139009,36.7645560145367,35.086536275352,1.13778190211331,-141.771071008818,4.82890020340409,0,0,0
"Sorex arcticus",102.583586862658,9.12339890432772,7.12268772854086,26.0852763349626,0,-27.705267519815,0,0,-4.55166755917989,4.36316210473559
"Clethrionomys rutilus",5.91613545061509,3.7161849018474,13.4024951187173,62.6126384724426,80.6620548636878,0,3.33665365620274,1.5537555302156,0,0
"Sorex caecutiens",107.802111454705,1.49058721914072,3.79470536196622,27.3974816437456,0,-56.5813219680679,0,0,-9.29568239950664,0
"Sorex roboratus",96.7114616796317,0,1.41512376953838,17.0284751170013,0,-63.3010202305372,0,0,-10.399654146644,0
"Neomys fodiens",-1011.30030652957,0,-23.5104943568832,-56.5813219680679,0,0,0,0,0,0
"Lemmus sibiricus",2.95099456874694,0,0,0,70.0736404612282,0,0,0,0,0
"Clethrionomys rufocanus",5.41339080211996,9.15489312380456,6.73294063093427,19.9431035531714,2.78894774275391,-208.506801387917,0,6.12433070811855,0,4.86469317576379
"Arvicola terrestris",-3.10552152476422,0,-21.2438212023704,-46.4784119975332,0,0,0,0,0,0
"Microtus middendorffi",0,0,0,29.7023516882186,0,0,0,0,0,0
"Sorex minutus",-0.393535799629095,0,0,0,0,0,0,0,0,0
