"","Ctenophthalmus.dilatatus","Citellophilus.ullus","Oropsylla.silantiewi","Frontopsylla.elata","Amphipsylla.schelkovnikovi","Ctenophthalmus.assimilis","Pectinoctenus.nemorosa","Megabothris.rectangulatus","Amphipsylla.dumalis","Amphipsylla.primaris","Neopsylla.democratica","Neopsylla.mana","Amphipsylla.anceps","Leptopsylla.sicistae","Ceratophyllus.sciurorum","Ctenophthalmus.arvalis","Frontopsylla.ornata","Neopsylla.setosa","Amalaraeus.penicilliger","Hystrichopsylla.talpae","Mesopsylla.hebes","Leptopsylla.nana","Rhadinopsylla.ioffi","Amphipsylla.rossica","Callopsylla.caspia","Frontopsylla.elatoides","Mesopsylla.lenis","Pectinoctenus.lauta","Mesopsylla.eucta","Nosopsyllus.consimilis","Oropsylla.ilovaiskii","Paraneopsylla.ioffi"
"Myospalax myospalax",1539.69865270807,0,0,0,0,0,0,0,0,0,4.2752515157143,3.47506577334353,0,0,0,0,0,0,0,0,0,0,7.53898240827973,0,0,0,0,0,0,0,0,0
"Spermophilus erythrogenys",0,43.673738119283,0,0,0,0,0,0,0,0,11.3499976556775,0,0,0,0,7.25685164150031,0,-0.430887524053966,0,0,0,0,0,0,0,0.608416445403755,0,0,0,0,1.54626461654003,0
"Cricetulus migratorius",0,0,0,6.62864504079915,14.7616995149276,1.19322286542002,0,0,0,1.1241515102432,4.8098515223681,5.21280844376334,19.9950602559476,0,0,3.48531315197331,0,0,0,2.90592276147919,0,1.03792165007295,0,0,0,0.730524042587481,0,1.06534745756564,0,0.481625776000247,0,0
"Apodemus uralensis",0,0,0,10.3874958127822,0,2.58902842198928,18.4638690002104,1.79533349241896,0,0,0,6.28368653706723,3.3475954333766,1.21434946695739,0,0,8.12488780186826,0,6.24721598481869,0,0,0,0,0.575339649330951,0,0,0,0,0,0,0,1.59579335493031
"Microtus arvalis",0,16.5336751528252,0,1.84078201911371,0,1.54634341041437,0,6.89332471132902,0,0,0,0,0,0,0,0,0,-2.87345952832933,0,0,0,0,0,0.883624805951071,0,0,0,0,0,0,0,0
"Marmota baibacina",0,0,19.3302104198043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alticola strelzowi",0,0,0,2.59142021055584,0,0,0,7.27822501090984,0,7.87399509967418,0,1.59211661468184,0,0,0,0,0,0,5.06520307466669,0,0,0,0,0,14.0817435841268,0,0,0,0,0,0,0
"Ellobius talpinus",0,0,0,0,0,1.29271243883073,0,0,44.7599544799298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sicista tianshanica",0,0,0,0,0,1.08256237622216,0,1.68905488603509,0,0,0,0,0,20.5643421488162,0,0,5.2919430154141,0,0,4.94329696428552,0,0,0,0,0,0,0,0,0,0,0,0
"Arvicola terrestris",0,0,0,0,0,2.11405601806637,0,10.1490166012854,0,0,0,0,0,0,0,0,0,0,14.126199730461,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microtus oeconomus",0,0,0,0.966324889371186,0,2.78317139343013,0,13.0272287602064,0,0,0,0.949905016735799,0,0,0,0,0,0,7.55513410111133,4.23625865274729,0,0,0,0,0,0,0,0,0,0,0,0
"Dryomys nitedula",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4422316204569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allactaga major",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34686844136231,0,-1.04511885656718,0,0,-7.83839142425383,0,0,0,0,0,0,0,0,0,0,0
"Clethrionomys rufocanus",0,0,0,1.21434946695739,0,0.874380535790147,0,0,0,0,0,0,0,0,0,0,1.899678873352,0,0,21.2942810164182,0,0,0,0.874380535790148,0,0,0,0,0,0,0,0
"Apodemus agrarius",0,0,0,2.12454679944761,0,1.52975928211729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allactaga elater",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-504.279417115362,0,221.633505494843,0,0,0
"Microtus gregalis",0,0,0,0,0,0.90003792695213,0,0,0,0,0,0,0,0,0,2.19078522196051,0,-0.975611118972888,9.77289038003373,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allocricetulus eversmanni",0,-0.430887524053966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alticola argentatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77854000832489,0,0,0,0,0,0,0,0,0,0
"Cricetus cricetus",0,0,0,0,0,0,0,0,0,0,0,3.4433710852057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sicista subtilis",0,-0.430887524053964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
