"","Amphipsylla.primaris","Paradoxopsyllus.scorodumovi","Callopsylla.caspia","Paramonopsyllus.scalonae","Citellophilus.tesquorum","Wagnerina.tuvensis","Paradoxopsyllus.dashidorzhii","Frontopsylla.elatoides","Nosopsyllus.laeviceps","Amphipsylla.vinogradovi","Frontopsylla.hetera","Pectinoctenus.pavlovskii","Neopsylla.mana","Frontopsylla.wagneri","Neopsylla.bidentatiformis","Amphipsylla.longispina","Ophthalmopsylla.praefecta","Oropsylla.alaskensis","Rhadinopsylla.li","Neopsylla.pleskei","Echidnophaga.oschanini","Frontopsylla.luculenta","Ophthalmopsylla.kukuschkini","Amphalius.runatus","Ctenophyllus.hirticrus","Rhadinopsylla.rothschildi"
"Alticola strelzowi",151.70640810779,108.609185306772,46.8051626371853,28.6985093123178,1.11620062139005,48.9449980814943,14.9035297824673,4.94970588615292,1.28262615558423,-90.0607825462187,19.6553243911358,1.3144191491237,3.06104367324825,0,0,1.51699941735663,0,0,1.1983270586917,0,0,0,0,0,0,0
"Alticola barakshin",116.385195052914,0,78.6266774028918,65.0307444536644,0,40.3871157401081,49.0443726829043,7.79723325648268,0,0,12.3773918491124,1.8980447579546,0.344431309622548,0,1.16336558270645,0,0,0,0.988803258982726,0,0,0,0,0,0,0
"Alticola argentatus",152.917192589892,67.0528304891862,15.7982007205015,23.9646790325111,1.1015525116753,21.7362076689773,0,42.1864770066473,0,-9.52273907538014,7.14640459088396,0.486438667710622,2.47162338333514,0,6.02929774131214,0,0,0,0,0,0,0,0,0,0,0
"Spermophilus undulatus",0.662273291822718,3.27886106489064,0,2.83910885504956,146.422726515276,0,3.29592070301156,12.21697985861,0,0,6.65215985487951,0,1.78942253743522,0,0,5.05808062500747,0,5.89481369886478,3.42475028117527,0,7.07888454327474,0,0,30.4576296286121,0,0
"Meriones meridianus",0,0,0,2.23302633029833,3.54849958131252,0,6.40958158613278,4.22649035999066,63.7122021465533,-65.0707089082793,5.23208121551232,0,0,0,1.35822039240394,8.03779012211023,0,0,0,0,0,0,0,0,0,0
"Cricetulus longicaudatus",0,9.89484335632648,0.724540255632577,0.699410043050888,2.1218241498464,11.6301537726892,0,4.63325227107423,0,-682.760464798986,4.50656034412742,11.1917558703137,7.27355399330475,0,2.97787392456695,3.20412929496662,0,0,0,0,0,0,0,0,0,0
"Cricetulus barabensis",0,0,0,0,9.48618074747651,0,0,1.80872344725699,0,-391.562385651093,2.37615094733738,1.50956317587277,1.5979539541562,0,17.8111429407285,0,0,0,0,0,0,0,3.39113306883815,0,0.494648726927277,-2.25259922127436
"Phodopus sungorus",7.87453209160691,0,0,0.642998939926843,0,0,0,3.60423975688341,0,-56.211245179615,3.01315092396256,9.81051987740773,2.43160129476324,0,0,7.36424848528441,0,0,2.90862940548217,0,0,0,0,0,0,0
"Allactaga sibirica",0,0,0,0,0,0,0,0,0,0,0,0,0,14.4936047135964,0,0,3.9447975389842,0,0,0,0,6.02960532471584,0,0,0,0
"Meriones unguiculatus",-6.43291303901562,0,0,-9.19244899768759,0,0,0,0,-176.917674183593,0,0,0,0,0,0,0,0,0,0,-49.2061929385059,0,0,0,0,0,0
"Apodemus peninsulae",0,0,0,0,0,0,0,0,0,0,0,0,0.465855284358443,0,0,0,0,0,0,0,0,0,17.3009378521264,0,0,0
