"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",6,1,1,4,2,4,0,0,0,0,0,1,0,0,1,1
"2",0,0,2,0,1,0,0,1,0,0,1,0,1,1,0,0
"3",0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0
"4",1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
"5",2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"6",0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0
"7",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"9",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
"11",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"12",0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"13",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"14",0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
"15",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"16",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"18",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"19",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"22",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"27",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"28",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"29",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"33",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"34",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"35",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"36",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
