"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",402,71,13,11,7,3,5,5,5,5,5,3,0,0,2,1
"2",121,14,4,2,0,3,0,2,0,0,0,0,1,0,0,0
"3",20,8,2,2,0,1,1,0,0,1,0,0,0,0,0,0
"4",22,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
"5",27,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"6",14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",15,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"8",9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"15",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"17",4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"18",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"20",4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"21",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"24",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
