"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",392,75,20,2,5,8,8,2,5,4,3,0,0,2,1,1
"2",103,30,0,8,4,0,0,1,0,0,0,2,0,0,0,0
"3",37,8,0,1,0,2,0,0,0,0,0,0,0,0,0,0
"4",29,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"5",24,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0
"6",20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",15,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"8",16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",9,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0
"10",10,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"11",9,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"12",11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"13",9,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"14",4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"15",3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"16",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"21",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"26",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"35",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
