"MODEL","wstatistic","magnitude","networkvalue","modelmean","pvalue","quantile","distance","reldist"
"RND",0,"spect_rad",6.11771929873753,4.5244236603735,3.33085578663341e-165,100,1.59329563836402,0.26043948088511
"RND",500500,"adj_energy",55.9947479967294,66.9999651058037,3.33085578663341e-165,0,-11.0052171090743,-0.196540166762017
"RND",0,"lpl_energy",140.929085075231,118.069932944265,3.33085578663341e-165,100,22.8591521309656,0.162203225251643
"SYTR",64732,"spect_rad",6.11771929873753,5.88699409005492,1.11070988418119e-91,78.5,0.230725208682603,0.0377142522263512
"SYTR",485909,"adj_energy",55.9947479967294,59.0613350894522,9.89639474876536e-147,8.1,-3.06658709272278,-0.0547656200346127
"SYTR",242908,"lpl_energy",140.929085075231,140.818498687767,0.421617426485199,53.4,0.110586387463769,0.000784695277094405
"SHUFFLE",0,"spect_rad",6.11771929873753,4.28598253037968,3.33085578663341e-165,100,1.83173676835785,0.299414974586339
"SHUFFLE",500500,"adj_energy",55.9947479967294,68.1836654435729,3.33085578663341e-165,0,-12.1889174468435,-0.217679655376883
"SHUFFLE",0,"lpl_energy",140.929085075231,112.65438713254,3.33085578663341e-165,100,28.274697942691,0.200630678384078
"VAZ",500500,"spect_rad",6.11771929873753,6.8696183198822,3.33085578663341e-165,0,-0.751899021144668,-0.122905119445384
"VAZ",7,"adj_energy",55.9947479967294,49.8845112652808,3.40160143871492e-165,99.9,6.11023673144861,0.109121604258412
"VAZ",500364,"lpl_energy",140.929085075231,149.588619871726,5.01010015864662e-165,0.7,-8.65953479649508,-0.061446044241843
"SWAP",500500,"spect_rad",6.11771929873753,6.95249376418436,3.33085578663341e-165,0,-0.834774465446834,-0.136451907105169
"SWAP",15,"adj_energy",55.9947479967294,50.3101205090823,3.48429288301059e-165,99.7,5.68462748764711,0.101520726336319
"SWAP",500013,"lpl_energy",140.929085075231,148.038626387571,1.43538488042281e-164,1.2,-7.10954131234072,-0.0504476510902311
